sku,n_snapshots,categoria,pct_snapshots
CLUB SOCIAL SNACK CEBOLA E SALSA 68G,38,BISCOITO,74.5
CLUB SOCIAL SNACK QUEIJO 68G,42,BISCOITO,82.4
COCA COLA + CAFEINA 220ML,31,REFRIGERANTE,60.8
COCA COLA 200ML,49,REFRIGERANTE,96.1
COCA COLA VIDRO 250ML,23,REFRIGERANTE,45.1
COCA COLA ZERO 2LTS,32,REFRIGERANTE,62.7
COCADA BRANCA CABANA BRASIL SEM ACUCAR 40G,50,DOCES DIVERSOS,98.0
COCADA BRANCA DE MINAS ZERO 40G,46,DOCES DIVERSOS,90.2
COCADA MORENA ZERO ACUCAR 40G,51,DOCES DIVERSOS,100.0
COOKIES GALAK 60G,31,BISCOITO,60.8
COOKIES PIRAQUE CHOCOLATE 80G,48,PADARIA,94.1
COOKIES PIRAQUE ORIGINAL 80G,45,PADARIA,88.2
CROISSANT 7 DAYS CHOCOLATE 45G,47,SALGADO ASSADO/FRITO,92.2
CRYSTAL SPARKLING FRUTAS VERMELHAS 510ML,19,AGUA SABORIZADA,37.3
CRYSTAL SPARKLING LIMAO 510ML,19,AGUA SABORIZADA,37.3
CRYSTAL SPARKLING TANG E CAPIM-LIMAO 510ML,19,AGUA SABORIZADA,37.3
CURATIVO ISABABY TRADICIONAL,39,HIGIENE PESSOAL,76.5
DANETE ACHOCOLATADO 200ML,25,BEBIDA LÁCTEA,49.0
DEL VALLE FRUT LARANJA 1LT,37,SUCO,72.5
DEL VALLE FRUT LARANJA 250ML,45,SUCO,88.2
DEL VALLE FRUT LARANJA 450ML,1,SUCO,2.0
DEL VALLE FRUT UVA 1LT,36,SUCO,70.6
DEL VALLE FRUT UVA 450ML,1,SUCO,2.0
DEL VALLE GOIABA SEM ADIÇÃO DE AÇUCAR 290ML,4,SUCO,7.8
DEL VALLE LARANJA 1LT,40,SUCO,78.4
DEL VALLE UVA 1LT,47,SUCO,92.2
DEL VALLE UVA LIGHT 1LT,47,SUCO,92.2
DJARUM BLACK ICE BOX,45,JTI,88.2
DJARUM BLACK KRETEK MENTOL,1,JTI,2.0
DOCE DE LEITE VIEIRA BEIJO DE LEITE 23G,35,DOCES DIVERSOS,68.6
"DOCE PE DE MOCA MOCOFORTE 50,5G",49,DOCES DIVERSOS,96.1
DOCES VIEIRA CHOCO BEIJO 23G,42,DOCES DIVERSOS,82.4
DOCES VIEIRA CHURRITOS 23G,44,DOCES DIVERSOS,86.3
DORITOS DINAMITA PIMENTA MEXICANA 60G,36,SNACK ELMA CHIPS,70.6
DORITOS DINAMITE FLAMIN HOT 60G,29,SNACK ELMA CHIPS,56.9
DORITOS KETCHUP 37G,40,SNACK ELMA CHIPS,78.4
DORITOS PIZZA ROCK IN RIO 48G,27,SNACK ELMA CHIPS,52.9
DORITOS QUEIJO NACHO 120G,25,SNACK ELMA CHIPS,49.0
DORITOS QUEIJO NACHO 37G,26,SNACK ELMA CHIPS,51.0
DORITOS QUEIJO NACHO 75G,50,SNACK ELMA CHIPS,98.0
DORITOS SWEET CHILLI 37G,38,SNACK ELMA CHIPS,74.5
DUNHILL BLUE BLEND BOX,40,SOUZA CRUZ,78.4
DUNHILL BLUE ON BOX,12,SOUZA CRUZ,23.5
DUNHILL CARLTON RED BLEND BOX,7,SOUZA CRUZ,13.7
DUNHILL IN BLUE BOX POS,43,SOUZA CRUZ,84.3
DUNHILL INSIGNIA FULL RED BOX,46,SOUZA CRUZ,90.2
DUNHILL INSIGNIA RED BOX,43,SOUZA CRUZ,84.3
DUNHILL OF LONDON BLUE BLEND BOX,44,SOUZA CRUZ,86.3
DUNHILL OF LONDON CARLTON BLEND BOX,43,SOUZA CRUZ,84.3
DUNHILL RED ON BOX,12,SOUZA CRUZ,23.5
EBICEN SALGADINHO SABOR CAMARAO 30G,28,SNACK DIVERSOS,54.9
EBICEN SALGADINHO SABOR CEBOLA 30G,31,SNACK DIVERSOS,60.8
ELECTRONIC MUSIC HEADSET SH-FO-669 SHINKA,39,ACESSORIOS CELULAR,76.5
ENERGETICO FUSION 1LT,15,ENERGÉTICO,29.4
ENERGETICO MONSTER ULTRA 473ML,24,ENERGÉTICO,47.1
ENERGETICO MONSTER ULTRA FIESTA MANGO 473ML,37,ENERGÉTICO,72.5
ENERGETICO MONSTER ULTRA PEACHY KEEN ZERO 473ML,36,ENERGÉTICO,70.6
ENERGETICO MONSTER ZERO SUGAR 473ML,33,ENERGÉTICO,64.7
ENERGETICO RED BULL POMELO SUGARFREE 250ML,39,ENERGÉTICO,76.5
ENERGETICO RED BULL SUGGAR FREE 250ML,30,ENERGÉTICO,58.8
ENERGETICO RED BULL THE TROPICAL EDITION 250ML,1,ENERGÉTICO,2.0
ENERGETICO TNT AÇAI C/ GUARANA 473ML,31,ENERGÉTICO,60.8
ENERGETICO TNT ENERGY DRINK ZERO 269ML,35,ENERGÉTICO,68.6
ENERGETICO TNT JUICE MANGO SUMMER 269ML,26,ENERGÉTICO,51.0
ENERGETICO TNT MACA VERDE ZERO 269ML,33,ENERGÉTICO,64.7
