sku,n_snapshots,categoria,pct_snapshots
ITUBAINA RETRO ORIGINAL LN 355ML,11,REFRIGERANTE,21.6
JUNDIÁ COPAO AÇAI 220GR,11,SORVETE JUNDIÁ,21.6
KAPO LARANJA 200ML,47,SUCO,92.2
KELECK BATATA FRITA PEPERONI 90G,48,SNACK DIVERSOS,94.1
KENT RED SERIES BRA WILLIS,49,SOUZA CRUZ,96.1
KIBON BRIGADEIRO,1,SORVETE KIBON,2.0
KIBON CHICABON PALITO,2,SORVETE KIBON,3.9
KIBON CORNETTO BRIGADEIRO 65G,32,SORVETE KIBON,62.7
KIBON CORNETTO CHOCOMIX 65G,46,SORVETE KIBON,90.2
KIBON CORNETTO CROCANTE 90ML,1,SORVETE KIBON,2.0
KIBON CORNETTO MMS,1,SORVETE KIBON,2.0
KIBON CR/CHOCO/FLOCOS 2LT,21,SORVETE KIBON,41.2
"KIBON CREMOSISSIMO CHOCOLATE 1,5L",49,SORVETE KIBON,96.1
KIBON CREMOSISSIMO CHOCOLEITE 4 EM 1 2LTS,25,SORVETE KIBON,49.0
"KIBON CREMOSISSIMO FLOCOS 1,5L",17,SORVETE KIBON,33.3
KIBON CREMOSISSIMO NAPOLITANO,23,SORVETE KIBON,45.1
KIBON CREMOSISSIMO NAPOLITANO ESPEC 2LTS,17,SORVETE KIBON,33.3
KIBON ESKIBON,22,SORVETE KIBON,43.1
KIBON FRUTAS TROPICAIS 2L,36,SORVETE KIBON,70.6
KIBON FRUTILLY CHICLETE PINTA LINGUA 40G,46,SORVETE KIBON,90.2
KIBON FRUTILLY MORANGO NAPOLITANO,2,SORVETE KIBON,3.9
KIBON FRUTTARE ABACAXI,45,SORVETE KIBON,88.2
KIBON FRUTTARE COCO,7,SORVETE KIBON,13.7
KIBON FRUTTARE LIMAO 58ML,5,SORVETE KIBON,9.8
KIBON FRUTTARE TANGERINA 59G,47,SORVETE KIBON,92.2
KIBON FRUTTARE UVA,3,SORVETE KIBON,5.9
KIBON MAGNUM AMENDOAS 72G,22,SORVETE KIBON,43.1
KIBON MAGNUM BOMBOM COOKIES E CREAM 85G,46,SORVETE KIBON,90.2
KIBON MAGNUM CHOCOLATE BRANCO,1,SORVETE KIBON,2.0
KIBON MAGNUM CLASSICO,12,SORVETE KIBON,23.5
KIBON MAGNUM COOKIES CREAM,7,SORVETE KIBON,13.7
KIBON MAGNUM MINI BITES CLASS 92G,14,SORVETE KIBON,27.5
KIBON MAGNUM PISTACHE 64G,41,SORVETE KIBON,80.4
KIBON MAGNUM PRALINE 69G,3,SORVETE KIBON,5.9
KIBON MAGNUM ZERO CHOCOLATE 90ML,17,SORVETE KIBON,33.3
KIBON MESCLADIN COCO E CHOCOLATE 63G,22,SORVETE KIBON,43.1
KIBON NUTABLITO MAX AVELA 64G,6,SORVETE KIBON,11.8
KIBON OS FAVORITOS MINI MORANGO 92G,35,SORVETE KIBON,68.6
KIBON SNICKERS 800ML,31,SORVETE KIBON,60.8
KIBON SORVETE MINI CHICABOM 92G,41,SORVETE KIBON,80.4
"KIBON SUNDAE CHOCOLATE 1,4L",36,SORVETE KIBON,70.6
"KIBON SUNDAE LEITE NINHO TRUFADO 1,4L",31,SORVETE KIBON,60.8
KIBON TABLITO 800ML,16,SORVETE KIBON,31.4
KIBON UNICORNETTO 59G,13,SORVETE KIBON,25.5
KINDER OVO MENINA,3,CHOCOLATE FERRERO,5.9
KINDER OVO MENINO,6,CHOCOLATE FERRERO,11.8
KINDER TRONKY T1X10X4 18G,28,CHOCOLATE FERRERO,54.9
KIT KAT NESCAFÉ,44,NESCAFÉ BEBIDAS,86.3
KIT VIAGEM AZUL DENTIL150GR,51,HIGIENE PESSOAL,100.0
KUAT GUARANA LATA 220ML,30,REFRIGERANTE,58.8
LACTA 5 STAR 40GR,13,CHOCOLATE LACTA,25.5
LACTA AO LEITE 20GR,25,CHOCOLATE LACTA,49.0
LACTA AO LEITE 80G,10,CHOCOLATE LACTA,19.6
"LACTA BIS LAKA FLOWPACK 100,8G",25,CHOCOLATE LACTA,49.0
LACTA BIS LIMAO 100G,40,CHOCOLATE DIVERSOS,78.4
LACTA BIS XTRA BRANCO 45G,40,CHOCOLATE LACTA,78.4
LACTA BIS XTRA LAKA 45GR AZUL,1,CHOCOLATE LACTA,2.0
LACTA COOKIE AO LEITE 80GR,41,BISCOITO,80.4
LACTA COOKIE LAKA 80GR,44,BISCOITO,86.3
LACTA DIAMANTE NEGRO 20GR,34,CHOCOLATE LACTA,66.7
LACTA LAKA 20GR,35,CHOCOLATE LACTA,68.6
"LACTA OREO 20,1G",34,CHOCOLATE LACTA,66.7
LAY'S CLASSICA 70G,26,SNACK ELMA CHIPS,51.0
LAY'S SOUR CREAM 70G,27,SNACK ELMA CHIPS,52.9
LEAO GUARANA AÇAI 450ML,1,CHÁ,2.0
LM FIRST CUT BLUE,1,PHILIP MORRIS,2.0
LM FIRST CUT RED,19,PHILIP MORRIS,37.3
"LOCTITE SUPER BONDER ORIGINAL 3,6G",39,UTILIDADES DOMESTICAS,76.5
LUCK BLUE,27,SOUZA CRUZ,52.9
LUCK RED,19,SOUZA CRUZ,37.3
LUCKY STRIKE BIG CHILL,16,SOUZA CRUZ,31.4
LUCKY STRIKE BLUE AMERICAN ORIGINAL BOX,47,SOUZA CRUZ,92.2
LUCKY STRIKE BLUE AMERICAN ORIGINAL MACO,28,SOUZA CRUZ,54.9
LUCKY STRIKE BLUE MAÇO,21,SOUZA CRUZ,41.2
LUCKY STRIKE DOUBLE FRESH,51,SOUZA CRUZ,100.0
LUCKY STRIKE DOUBLE FROST,38,SOUZA CRUZ,74.5
LUCKY STRIKE FRESH DOUBLE ICE 20UN,26,SOUZA CRUZ,51.0
LUCKY STRIKE FRESH DOUBLE ICE X,35,SOUZA CRUZ,68.6
LUCKY STRIKE ORIGINAL BLEND,21,SOUZA CRUZ,41.2
LUCKY STRIKE ORIGINAL BLEND MAÇO,21,SOUZA CRUZ,41.2
LUCKY STRIKE RA PATTERSON BLUE,46,SOUZA CRUZ,90.2
LUCKY STRIKE RED AMERICAN ORIGINAL,28,SOUZA CRUZ,54.9
MARLBORO BLOSSOM FUSION BOX,41,PHILIP MORRIS,80.4
MARLBORO BLUE SELECTION BOX,46,PHILIP MORRIS,90.2
MARLBORO GOLD SELECTION MACO,47,PHILIP MORRIS,92.2
MARLBORO RED SELECTION MACO,48,PHILIP MORRIS,94.1
MARSHMALLOW DOCILE TWIST AZUL E BRANCO 250G,49,DOCES DIVERSOS,96.1
MARSHMALLOW DOCILE TWIST COLOR 250G,39,DOCES DIVERSOS,76.5
MENTOS KISS MINT 35GR,36,MENTOS,70.6
MENTOS KISS MORANGO 35GR,35,MENTOS,68.6
MENTOS KISS TUTTI FRUTTI E MENTA 35G,49,MENTOS,96.1
MENTOS KISS XTREME FROZEN 35GR,35,MENTOS,68.6
MENTOS PURE FRESH AZUL GARRAFA 56GR,6,MENTOS,11.8
MENTOS PURE FRESH MORANGO GARRAFA 56G,48,MENTOS,94.1
MENTOS PURE FRESH WINTERGREEN GARRAFA 56GR,5,MENTOS,9.8
MENTOS UP2U GARRAFA TUTTI FRUTTI 56GR,2,MENTOS,3.9
MINI PANETONE COM GOTAS DE CHOCOLATE BAUDUCCO 80G,47,PADARIA,92.2
MMS CHOCOLATE AO LEITE MINIS TUBO 30G,16,CHOCOLATE M&M (MARS),31.4
MONSTER ENERGY ULTRA VIOLET 473ML,16,ENERGÉTICO,31.4
MONSTER ULTRA WATERMELON 473 ML,46,ENERGÉTICO,90.2
NESCAFE CAPPUCINO CLASSICO 270 ML,44,BEBIDA LÁCTEA,86.3
"NESCAFÉ ALEGRIA CAPUCCINO 1,3KG",48,CAFÉ,94.1
NESCAFÉ ALEGRIA EXPRESSO 500GR,41,CAFÉ,80.4
NESCAFÉ ALEGRIA. ALPINO,21,CAFÉ,41.2
NESCAFÉ ALEGRIA. CAPPUCCINO ALPINO,21,CAFÉ,41.2
NESCAFÉ ALEGRIA. CAPPUCCINO CLASSIC CANELA,18,CAFÉ,35.3
NESCAFÉ ALEGRIA. MOKACCINO DOIS FRADES,21,CAFÉ,41.2
NESCAFÉ ALEGRIA. NESCAU.,22,ACHOCOLATADO,43.1
"NESCAFÉ CAPPUCCINO LATTE 1,3KG",51,CAFÉ,100.0
"NESTLE ALPINO CHOCOLATE AO LEITE 1,3KG",51,ACHOCOLATADO,100.0
NESTLE ALPINO COOKIE GOTAS CHOC 60G,15,CHOCOLATE NESTLE,29.4
NESTLE ALPINO FAST 280ML,2,ACHOCOLATADO,3.9
NESTLE BISCOITO CHOCOBISCUIT RECHEIO COOKIES AND CREAM 90G,33,BISCOITO,64.7
NESTLE BONO RECH. DOCE DE LEITE 90G,23,BISCOITO,45.1
NESTLE BONO RECH. MORANGO 90G,45,BISCOITO,88.2
NESTLE BONO RECHEADO LIMAO 90G,41,BISCOITO,80.4
NESTLE CHARGE 40GR,35,CHOCOLATE NESTLE,68.6
NESTLE CHOCOLATE CRUNCH 80G,44,CHOCOLATE NESTLE,86.3
NESTLE CLASSIC COOKIE CHOC GOTAS 60G,34,BISCOITO,66.7
NESTLE COOKIE CHARGE 60G,50,BISCOITO,98.0
"NESTLE KIT KAT BRANCO 41,5GR",30,CHOCOLATE NESTLE,58.8
"NESTLE KIT KAT CHURROS 41,5G",45,CHOCOLATE NESTLE,88.2
"NESTLE KIT KAT MINI MOMENTS CARAMEL 34,6G",21,CHOCOLATE NESTLE,41.2
"NESTLE KIT KAT PAPAI EM PÓ 1,3KG",51,CHOCOLATE NESTLE,100.0
NESTLE LOLLO 28GR,16,CHOCOLATE NESTLE,31.4
NESTLE NEGRESCO COOKIE CHOC GOTAS BAUN 60GR,11,BISCOITO,21.6
NESTLE NESCAU FAST 270ML,5,ACHOCOLATADO,9.8
NESTLE NESFIT BANANA AVEIA E CANELA 160GR,18,BISCOITO,35.3
NESTLE NESFIT CACAU E AVELA 140G,26,BISCOITO,51.0
NESTLE NESFIT MORANGO E CEREAIS 160G,32,BISCOITO,62.7
NESTLE NESTON FAST VITAMINA 280ML,3,BEBIDA LÁCTEA,5.9
NESTLE PASSATEMPO COOKIE DE LEITE 60GR,22,BISCOITO,43.1
NESTLE PASSATEMPO LEITE NINHO 150G,15,BISCOITO,29.4
NESTLE PASSATEMPO RECHEIO DE CHOCO MORANGO 130GR,40,BISCOITO,78.4
NESTLE PASSATEMPO RECHEIO DE CHOCOLATE 130GR,10,BISCOITO,19.6
NESTLE PASSATEMPO RECHEIO DE MORANGO 130GR,27,BISCOITO,52.9
NESTLE PRESTIGIO BANANA 33G,48,CHOCOLATE NESTLE,94.1
NESTLE PRESTIGIO DARK 33GR,41,CHOCOLATE NESTLE,80.4
OREO CHOCOLATE 90G,29,BISCOITO,56.9
OREO MILKSHAKE DE MORANGO 90GR,33,BISCOITO,64.7
OREO ORIGINAL 90GR,14,BISCOITO,27.5
PACOCA ARTESANALSP PREMIUM 60G,28,DOCES DIVERSOS,54.9
PALITO LOOK CHOCOLATE 55GR,31,BISCOITO,60.8
PALITO LOOK MORANGO 55GR,34,BISCOITO,66.7
PARANA FOSFORO ECOLOGICO SEM ENXOFRE 200UN,39,UTILIDADES DOMESTICAS,76.5
PAÇOCA AMOR ARCOR 18G,47,DOCES DIVERSOS,92.2
PAÇOCA PREMIUM ARTESANAL 60G,39,DOCES DIVERSOS,76.5
PAÇOCA S.H PAÇOQUITA 18G,17,DOCES DIVERSOS,33.3
PAÇOCA S.H PAÇOQUITA 20G,18,DOCES DIVERSOS,35.3
PAÇOCA S.H PAÇOQUITA ORIGINAL 20G,49,DOCES DIVERSOS,96.1
PECCIN TRENTO BITES PTORTA DE LIMAO 40G,33,CHOCOLATE DIVERSOS,64.7
PECCIN TRENTO CHOCOLATE 29G,42,CHOCOLATE DIVERSOS,82.4
PECCIN TRENTO MINI 40G,28,CHOCOLATE DIVERSOS,54.9
PECCIN TRENTO MOUSSE DE MARACUJA 29G,39,CHOCOLATE DIVERSOS,76.5
PECCIN TRENTO TORTA DE LIMAO 29G,44,CHOCOLATE DIVERSOS,86.3
PEPSI TWIST 200ML,15,REFRIGERANTE,29.4
PERFETTO PATRULHA CANINA 50G,25,SORVETE PERFETTO,49.0
PICOLE DUO MOUSSE DE MARACUJA E LIMAO 60G,20,SORVETE JUNDIÁ,39.2
PICOLE JUNDIA MAX PISTACHE 75G,47,SORVETE JUNDIÁ,92.2
PICOLE PIRACANJUBA PRO FORCE COCO C/CHOCOLATE BRANCO 75G,50,DOCES DIVERSOS,98.0
PICOLE SABOR MORANGO COM RECHEIO CHANTILLY SPLIC JUNDIÁ 50G,12,SORVETE JUNDIÁ,23.5
PILHA RAYOVAC AA PALITO AMARELA C/4,16,PILHAS,31.4
PILHA RAYOVAC AA PEQUENA TUBO UN,47,PILHAS,92.2
PILHA RAYOVAC TUBO AAA PALITO 40UN,45,PILHAS,88.2
PINGO BEL DOCE COM LEITE 50G,48,DOCES DIVERSOS,94.1
PINGO D OURO BACON 76G,32,SNACK DIVERSOS,62.7
PINGO DE OURO ELMA CHIPS BACON 76G,49,DOCES DIVERSOS,96.1
PIPOCA DOCE CARAMELIZADA CLAC 50G,47,PIPOCA,92.2
PIPOCA FORMIGAO 120G,35,PIPOCA,68.6
PIPOCA FORMIGAO 40G,41,PIPOCA,80.4
PIRAQUE BISCOITO PRESUNTINHO 100GR,21,BISCOITO,41.2
PIRAQUE ROLADINHO GOIABINHA 75GR,35,BISCOITO,68.6
"POTE FUZZY AÇAI COM GUARANA JUNDIA 1,5L",8,SORVETE JUNDIÁ,15.7
POWERADE FRUTAS TROPICAIS SQUEEZE 500ML,9,ISOTÔNICO,17.6
POWERADE LARANJA SQUEEZE 500ML,7,ISOTÔNICO,13.7
POWERADE LIMAO SQUEEZE 500ML,9,ISOTÔNICO,17.6
POWERADE MOUNTAIN BLAST 500ML,16,ISOTÔNICO,31.4
POWERADE SOUR MACA VERDE 500ML,48,ISOTÔNICO,94.1
POWERADE TANGERINA 500ML,47,ISOTÔNICO,92.2
POWERADE UVA 500ML,17,ISOTÔNICO,33.3
PRESERVATIVO OLLA 3UN,44,HIGIENE PESSOAL,86.3
PRESERVATIVO SUPRA CLASSICO 3UN,17,HIGIENE PESSOAL,33.3
PRESERVATIVO SUPRA SENSITIVE 3UN,26,HIGIENE PESSOAL,51.0
PRINGLES BATATA CHURRASCO 109G,44,SNACK PRINGLES,86.3
PRINGLES BATATA CREME E CEBOLA 109G,16,SNACK PRINGLES,31.4
PRINGLES BATATA ORIGINAL 104G,16,SNACK PRINGLES,31.4
PRINGLES BATATA PIZZA CALABRESA 105G,49,SNACK PRINGLES,96.1
PRINGLES BATATA QUEIJO 109G,25,SNACK ELMA CHIPS,49.0
PURURUCA MILHO PICANTE KELECK 90G,48,SNACK DIVERSOS,94.1
RAPADURINHA DE MINAS 25G,47,DOCES DIVERSOS,92.2
READYGIN MORANGO 275ML,49,DESTILADOS DIVERSOS,96.1
REFRIGERANTE FYS GUARANA 350ML,49,REFRIGERANTE,96.1
REFRIGERANTE SODA LIMONADA ANTARCTICA PET 200ML,5,REFRIGERANTE,9.8
REFRIGERANTE SUKITA LARANJA 200ML,8,REFRIGERANTE,15.7
REFRIGERANTE SUKITA TUBAINA PET 2L,23,REFRIGERANTE,45.1
REFRIGERANTE SUKITA UVA 200ML,3,REFRIGERANTE,5.9
ROCKS OVOMALTINE 40G,38,DOCES DIVERSOS,74.5
ROTHMANS BLUE BOX OF LONDON,45,SOUZA CRUZ,88.2
ROTHMANS BLUE BOX OF LONDON GLOBAL,50,SOUZA CRUZ,98.0
ROTHMANS BOX OF LONDON RED GLOBAL,32,SOUZA CRUZ,62.7
ROTHMANS INTERNACIONAL BLUE,4,SOUZA CRUZ,7.8
ROTHMANS OF LONDON BLUE BOX,2,SOUZA CRUZ,3.9
ROTHMANS OF LONDON CLASSIC RED,2,SOUZA CRUZ,3.9
ROTHMANS RED BOX OF LONDON GLOBAL,37,SOUZA CRUZ,72.5
ROTHMANS RED OF LONDON,28,SOUZA CRUZ,54.9
ROTHMANS RED SERIES BOX,25,SOUZA CRUZ,49.0
ROTHMANS SILVER MACO,49,SOUZA CRUZ,96.1
ROTHMANS SILVER OF LONDON,28,SOUZA CRUZ,54.9
RUFFLES CHURRASCO 32G,41,SNACK ELMA CHIPS,80.4
RUFFLES CHURRASCO 68GR,40,SNACK ELMA CHIPS,78.4
RUFFLES ORIGINAL 68G,39,SNACK ELMA CHIPS,76.5
RUFFLES PIMENTA MEXICANA 30G,44,SNACK ELMA CHIPS,86.3
RUFFLES SAL 115G,37,SNACK ELMA CHIPS,72.5
RUFFLES SAL 32G,49,SNACK ELMA CHIPS,96.1
SABORES DO COCO COCADA BRANCA 40G,29,DOCES DIVERSOS,56.9
SABORES DO COCO COCADA MORENA 40G,31,DOCES DIVERSOS,60.8
SACOLA KRAFT TAMANHO M COM CARINHO P/VC UN,39,UTILIDADES DOMESTICAS,76.5
SALGADINHO CHEEZ IT PARMESSAO SNACK 65G,49,SNACK DIVERSOS,96.1
SALGADINHO CHEEZ IT SNAPD NACHO EXPLOSION 45G,50,SNACK DIVERSOS,98.0
SALGADINHO CHEEZ IT SNAPD QUEIJO 45G,48,SNACK DIVERSOS,94.1
SALGADINHO KELECK BACON 60G,48,SNACK DIVERSOS,94.1
SALGADINHO POINT BACON 60G,28,SNACK DIVERSOS,54.9
SALGADINHO PÃO DE ALHO TORCIDA CHURRAS 60G,41,SNACK TORCIDA,80.4
SALGADINHO STIKSY ELMA CHIPS CLASSICO 76G,28,SNACK ELMA CHIPS,54.9
SALGADINHO TOP SNACKS COSTELINHA COM LIMAO 51G,50,SNACK DIVERSOS,98.0
SALGADINHO TORCIDA BACON 60G,27,SNACK TORCIDA,52.9
SALGADINHO TORCIDA CEBOLA 60G,30,SNACK TORCIDA,58.8
SALGADINHO TORCIDA CHURRASCO 60G,37,SNACK TORCIDA,72.5
SALGADINHO TORCIDA PIMENTA MEXICANA 60G,31,SNACK TORCIDA,60.8
SANDUICHE NATURAL MANIA LANCHE 3 QUEIJOS,16,SANDUÍCHE,31.4
SANDUICHE NATURAL MANIA LANCHES ATUM 140GR,14,SANDUÍCHE,27.5
SANDUICHE NATURAL MANIA LANCHES FILE DE FRANGO 160GR,12,SANDUÍCHE,23.5
SANDUICHE NATURAL MANIA LANCHES PEITO DE PERU C/TOMATE SECO,13,SANDUÍCHE,25.5
SANDUICHE NATURAL MANIA LANCHES SALAME COM PROVOLONE 140GR,12,SANDUÍCHE,23.5
SCHWEPPES MIXED GIN TONICA 269ML,51,DESTILADOS DIVERSOS,100.0
"SCHWEPPS CITRUS 1,5LT",49,REFRIGERANTE,96.1
SCHWEPPS CITRUS 1.5LTS,49,REFRIGERANTE,96.1
SCHWEPPS CITRUS LATA 350ML,37,REFRIGERANTE,72.5
SCHWEPPS CITRUS ORIGINAL 350ML,1,REFRIGERANTE,2.0
SENSAÇÕES SABOR FRANGO GRELHADO 40G,11,SNACK ELMA CHIPS,21.6
SENSAÇÕES SABOR PEITO DE PERU 40G,10,SNACK ELMA CHIPS,19.6
SHINKA MACARON SERIES CABO DE DADOS LIGHTNING CB-IP-99,16,ACESSORIOS CELULAR,31.4
SKOL BEATS CAIPIRINHA 269ML,33,CERVEJA AMBEV,64.7
SKOL BEATS MISTA GREEN MIX 269ML,47,CERVEJA AMBEV,92.2
SKOL BEATS RED MIX 269ML,39,CERVEJA AMBEV,76.5
SKOL BEATS RED MIX SABOR FRUTAS VERMELHAS 269ML,45,CERVEJA AMBEV,88.2
SKOL BEATS SENSES LATA 269ML,20,CERVEJA AMBEV,39.2
SKOL BEATS SENSES LONG NECK 269ML,45,CERVEJA AMBEV,88.2
SKOL BEATS TROPICAL LONG NECK 269ML,42,CERVEJA AMBEV,82.4
SKOL LATA 473ML,2,CERVEJA AMBEV,3.9
SNACKS NUTELLA B READY 22G,5,SNACK ELMA CHIPS,9.8
SNICKERS BRANCO 42G,38,CHOCOLATE ARCOR,74.5
SNICKERS MARACUJA 42G,28,CHOCOLATE M&M (MARS),54.9
SNICKERS MORANGO 42G,30,CHOCOLATE M&M (MARS),58.8
SNICKERS PÉ DE MOLEQUE 42G,24,CHOCOLATE M&M (MARS),47.1
SORVETE COOL KISS CHOCOLATE BELGA 500ML,47,SORVETE PERFETTO,92.2
SORVETE COOL KISS PISTACHIO 500ML,42,SORVETE PERFETTO,82.4
SORVETE JUNDIA BOMBOM ACAI COM LEITINHO 105G,48,SORVETE JUNDIÁ,94.1
SORVETE JUNDIA DADINHO 70G,42,SORVETE JUNDIÁ,82.4
SORVETE JUNDIA DADINHO MINI BOMBOM 105G,45,SORVETE JUNDIÁ,88.2
SORVETE JUNDIA FUZZY ACAI C/ LEITINHO 75G,47,SORVETE JUNDIÁ,92.2
SORVETE JUNDIA MAX CHOCO MEIO AMARGO 75G,32,SORVETE JUNDIÁ,62.7
SORVETE JUNDIA MAX CLASSICO 75G,5,SORVETE JUNDIÁ,9.8
SORVETE JUNDIA MAX DIVINE UN,10,SORVETE JUNDIÁ,19.6
SORVETE JUNDIA MAX PISTACHE MINI BOMBOM 105G,44,SORVETE JUNDIÁ,86.3
SORVETE JUNDIA SABOR MAX TRUFADINHO 70G,23,SORVETE JUNDIÁ,45.1
SORVETE JUNDIÁ ABACAXI AO VINHO 2LTS,24,SORVETE JUNDIÁ,47.1
SORVETE JUNDIÁ ACAI C/GUARANA 60G,37,SORVETE JUNDIÁ,72.5
SORVETE JUNDIÁ BOMBOM 2LTS,17,SORVETE JUNDIÁ,33.3
SORVETE JUNDIÁ BRIGADEIRO 2LTS,41,SORVETE JUNDIÁ,80.4
SORVETE JUNDIÁ CHOCOBAR,5,SORVETE JUNDIÁ,9.8
SORVETE JUNDIÁ CHOCOLATE 2LTS,48,SORVETE JUNDIÁ,94.1
SORVETE JUNDIÁ COCO BRANCO 2LTS,47,SORVETE JUNDIÁ,92.2
SORVETE JUNDIÁ COOKIE AND CREAM,17,SORVETE JUNDIÁ,33.3
SORVETE JUNDIÁ COPAO RADICAL FLOCOS,3,SORVETE JUNDIÁ,5.9
SORVETE JUNDIÁ COPAO RADICAL NAPOLITANO,9,SORVETE JUNDIÁ,17.6
SORVETE JUNDIÁ CREME 2LTS,42,SORVETE JUNDIÁ,82.4
"SORVETE JUNDIÁ FASCINO CHOC C/ AVELA 1,5L",8,SORVETE JUNDIÁ,15.7
"SORVETE JUNDIÁ FASCINO COLLECTION TORTA LIMAO 1,5L",26,SORVETE JUNDIÁ,51.0
"SORVETE JUNDIÁ FASCINO COLLECTION TRUF. BIANCO 1,5L",10,SORVETE JUNDIÁ,19.6
"SORVETE JUNDIÁ FASCINO FRUTAS VERMELHAS 1,5L",12,SORVETE JUNDIÁ,23.5
SORVETE JUNDIÁ FASCINO GRANCONE 70G,16,SORVETE JUNDIÁ,31.4
SORVETE JUNDIÁ FASCINO NATA/CHOCOLATE,2,SORVETE JUNDIÁ,3.9
SORVETE JUNDIÁ FASCINO NATA/MORANGO,1,SORVETE JUNDIÁ,2.0
"SORVETE JUNDIÁ FASCINO PIPOCA 1,5L",49,SORVETE JUNDIÁ,96.1
"SORVETE JUNDIÁ FASCINO TRUFADINHO 1,5LT",4,SORVETE JUNDIÁ,7.8
"SORVETE JUNDIÁ FASCINO TRUFATINE 1,5L",19,SORVETE JUNDIÁ,37.3
SORVETE JUNDIÁ FLOCOS 2LTS,10,SORVETE JUNDIÁ,19.6
SORVETE JUNDIÁ FRUTA LIMAO,9,SORVETE JUNDIÁ,17.6
SORVETE JUNDIÁ FRUTA UVA,7,SORVETE JUNDIÁ,13.7
SORVETE JUNDIÁ MAX BROWNIE 75GR,9,SORVETE JUNDIÁ,17.6
SORVETE JUNDIÁ MEXX MORANGO C/LEITE COND.110GR,41,SORVETE JUNDIÁ,80.4
SORVETE JUNDIÁ MILHO VERDE 2LTS,42,SORVETE JUNDIÁ,82.4
SORVETE JUNDIÁ MILK CHOCOLATE 60GR,13,SORVETE JUNDIÁ,25.5
SORVETE JUNDIÁ MILK COCO BRANCO,2,SORVETE JUNDIÁ,3.9
SORVETE JUNDIÁ MILK MILHO VERDE 60GR,6,SORVETE JUNDIÁ,11.8
SORVETE JUNDIÁ NAPOLITANO,12,SORVETE JUNDIÁ,23.5
SORVETE JUNDIÁ NAPOLITANO 2LTS,11,SORVETE JUNDIÁ,21.6
SORVETE JUNDIÁ PICOLE AZULOKO,26,SORVETE JUNDIÁ,51.0
SORVETE JUNDIÁ PICOLE BRICOLE,1,SORVETE JUNDIÁ,2.0
SORVETE JUNDIÁ PICOLE JUNDMAX AVELA,2,SORVETE JUNDIÁ,3.9
SORVETE JUNDIÁ PICOLE JUNDMAX CHOCOLATE BRANCO,8,SORVETE JUNDIÁ,15.7
SORVETE JUNDIÁ PICOLE TRES CHOCOLATES,19,SORVETE JUNDIÁ,37.3
SORVETE JUNDIÁ SKIMO MINI 150G,18,SORVETE JUNDIÁ,35.3
SORVETE JUNDIÁ TRES CHOCOLATES 2LT,14,SORVETE JUNDIÁ,27.5
SORVETE KIBON FRUTTARE MORANGO 55G,22,SORVETE KIBON,43.1
SORVETE KIBON MINI DOCE DE LEITE 92G,30,SORVETE KIBON,58.8
SORVETE KIBON TABLITO 3 CHOCOLATES 72G,33,SORVETE KIBON,64.7
SORVETE MY LITTLE PONY BAUNILHA MORANGO E UVA 50G,32,SORVETE JUNDIÁ,62.7
SPRITE FRESH 510ML,20,REFRIGERANTE,39.2
SPRITE LATA 220ML,28,REFRIGERANTE,54.9
SPRITE MINI PET 200ML,49,REFRIGERANTE,96.1
STELLA ARTOIS LONG NECK 330ML,15,CERVEJA AMBEV,29.4
SUCO 100 SUCO DE LARANJA E MORANGO 200ML,46,SUCO,90.2
SUCO DEL VALLE MANGA 290ML,6,SUCO,11.8
SUCO DEL VALLE SABOR LARANJA 200ML,36,SUCO,70.6
SUCO DEL VALLE UVA 200ML,36,SUCO,70.6
SUCO NATURAL ONE LARANJA 300ML,43,SUCO,84.3
SUCO NATURAL ONE UVA E MAÇA 300ML,36,SUCO,70.6
SUKITA LARANJA 2LTS,1,REFRIGERANTE,2.0
SUPLEM ALIM CHILLI BEANS RELAX MACA VERDE 310ML,48,MERCEARIA ALIMENTICIA,94.1
SUPLEMENTO ALIMENTAR CHILLI RELAX ACAI BERRY 310ML,49,MERCEARIA ALIMENTICIA,96.1
SUPLEMENTO ALIMENTAR CHILLI RELAX COCO E ACAI 310ML,50,MERCEARIA ALIMENTICIA,98.0
SUPORTE VEICULAR UNIVERSAL TOMATE MTG-006,40,ACESSORIOS CELULAR,78.4
SUSPIRO CASEIRO KE DELICIA 50G,48,DOCES DIVERSOS,94.1
"TIC TAC INCRIVEL DUPLA MORANGO 14,5G",13,PASTILHAS,25.5
TIC TAC LARANJA 16GR,12,PASTILHAS,23.5
TIC TAC MENTA 16GR,12,PASTILHAS,23.5
TNT MAÇA VERDE ZERO AÇUCAR 473 ML,23,ENERGÉTICO,45.1
TOALHA DE PAPEL PICCOLA DONNA C/2,48,MERCEARIA MAT. LIMPEZA,94.1
TORCIDA CHURRAS VINAGRETE 60G,41,SNACK TORCIDA,80.4
TORCIDA COSTELA C/ LIMAO 60G,33,SNACK TORCIDA,64.7
TORRONE AMENDOIM AMOR 25G,34,DOCES DIVERSOS,66.7
"TORTUGUITA BAUNILHA 15,5GR ARCOR",7,CHOCOLATE ARCOR,13.7
"TORTUGUITA BRANCA RECHEIO CHOCOLATE 15,5G",8,CHOCOLATE ARCOR,15.7
TRAKINAS MEIO A MEIO CHOCOLATE BRANCO E PRETO 126G,23,BISCOITO,45.1
TRAKINAS MEIO A MEIO CHOCOLATE E MORANGO 126G,16,BISCOITO,31.4
