seed,episodio,phase,steps,reward_total,lucro_total,perdas_total,rupturas_total,epsilon,loss_media,pct_promove,per_beta
123,83,2,1095,549783.44,636938.0,1740.8,76.2,0.281,39.4736,82.6,1.0
123,84,2,1095,546800.3,632856.74,1839.8,61.0,0.2767,39.3696,79.2,1.0
123,85,2,1095,554220.5,627559.27,1711.0,72.7,0.2726,39.9781,76.2,1.0
123,86,2,1095,567436.5,644720.87,1675.1,170.9,0.2685,40.7753,76.6,1.0
123,87,2,1095,556684.56,635513.34,1845.8,59.0,0.2645,40.157,79.1,1.0
123,88,2,1095,547470.25,620886.88,1862.6,162.6,0.2605,40.0456,77.4,1.0
123,89,2,1095,563384.0,632849.83,1816.4,79.3,0.2566,40.7317,71.9,1.0
123,90,2,1095,550055.6,631400.96,1853.6,96.0,0.2528,39.8661,79.9,1.0
123,91,2,1095,584301.25,648037.2,1792.8,120.1,0.249,40.3376,73.2,1.0
123,92,2,1095,560273.06,632880.69,1749.2,80.5,0.2452,40.1921,79.5,1.0
123,93,2,1095,545363.94,623664.27,1874.7,105.7,0.2415,40.9791,76.9,1.0
123,94,2,1095,587495.3,657552.39,1816.5,220.3,0.2379,40.8819,77.2,1.0
123,95,2,1095,564514.3,637685.1,1766.0,115.0,0.2344,42.3624,74.9,1.0
123,96,2,1095,555489.0,622759.07,1795.5,86.4,0.2308,41.8346,74.2,1.0
123,97,2,1095,564862.25,635176.13,1744.1,95.3,0.2274,42.5919,77.2,1.0
123,98,2,1095,550743.2,619378.66,1816.9,153.5,0.224,40.7768,80.6,1.0
123,99,3,1095,586150.8,653666.84,1725.9,139.0,0.2206,40.5786,80.6,1.0
123,100,3,1095,554925.56,627141.86,1830.6,69.5,0.2173,39.7505,76.9,1.0
123,101,3,1095,568851.75,633966.46,1726.6,56.0,0.214,41.3073,76.8,1.0
123,102,3,1095,590678.56,653475.33,1663.3,159.5,0.2108,40.2875,79.5,1.0
123,103,3,1095,556592.3,626071.73,1757.3,72.6,0.2077,40.7599,81.0,1.0
123,104,3,1095,598170.3,666775.89,1636.7,177.9,0.2046,40.0952,81.2,1.0
123,105,3,1095,563502.56,628145.54,1713.9,55.7,0.2015,41.3138,80.2,1.0
123,106,3,1095,579569.25,641182.4,1739.1,123.3,0.1985,42.0291,79.0,1.0
123,107,3,1095,551386.1,624256.02,1873.7,145.0,0.1955,41.0801,80.5,1.0
123,108,3,1095,556303.3,627284.3,1781.7,134.6,0.1926,41.0401,80.5,1.0
123,109,3,1095,569296.4,630851.23,1713.1,93.4,0.1897,42.0212,83.5,1.0
123,110,3,1095,560327.5,626730.66,1811.1,94.4,0.1868,42.3175,82.1,1.0
