sku,categoria,preco_venda_medio,custo_medio,n_snapshots,primeiro_visto,ultimo_visto,ultima_venda_max,margem_R$,margem_pct
CABO MICRO USB SJX-08-V8 SHINKA,ACESSORIOS CELULAR,31.99,14.8264,38,2022-1,2026-12,2026-03-22,17.16,53.6
CABO TYPE C MAMMOTH,ACESSORIOS CELULAR,39.99,18.0,38,2022-1,2025-12,2026-05-10,21.99,55.0
CABO TYPE C SJX-08-TPC SHINKA,ACESSORIOS CELULAR,39.99,18.0,36,2022-1,2026-12,2024-07-23,21.99,55.0
CARREGADOR INTELIGENTE KA-5003 KAPBOM,ACESSORIOS CELULAR,34.99,16.0,42,2022-1,2026-12,2025-05-04,18.99,54.3
CARREGADOR VEICULAR USB SHINKA,ACESSORIOS CELULAR,39.99,18.0,28,2022-1,2026-12,2026-05-06,21.99,55.0
ELECTRONIC MUSIC HEADSET SH-FO-669 SHINKA,ACESSORIOS CELULAR,31.99,14.8894,39,2022-1,2026-11,2026-03-03,17.1,53.5
SHINKA MACARON SERIES CABO DE DADOS LIGHTNING CB-IP-99,ACESSORIOS CELULAR,39.99,18.0,16,2022-1,2023-11,2026-05-06,21.99,55.0
SUPORTE VEICULAR UNIVERSAL TOMATE MTG-006,ACESSORIOS CELULAR,31.99,14.9684,40,2022-1,2026-12,2026-02-07,17.02,53.2
GITANES AGUA PARA BATERIA 1LT,ACESSÓRIOS DIVERSOS,6.99,2.69,1,2022-2,2022-2,2026-05-10,4.3,61.5
"ACHOCOLATADO NESCAU EM PÓ 1,3KG",ACHOCOLATADO,5.2,0.098,51,2022-1,2026-12,,5.1,98.1
"ACHOCOLATADO NESTLE DOIS FRADES 1,3KG",ACHOCOLATADO,5.2,0.1965,50,2022-1,2026-12,2025-10-11,5.0,96.2
NESCAFÉ ALEGRIA. NESCAU.,ACHOCOLATADO,8.5,3.3322,22,2022-1,2026-11,2026-05-03,5.17,60.8
"NESTLE ALPINO CHOCOLATE AO LEITE 1,3KG",ACHOCOLATADO,5.2,0.2249,51,2022-1,2026-12,,4.98,95.8
NESTLE ALPINO FAST 280ML,ACHOCOLATADO,12.99,6.33,2,2025-1,2026-8,2026-05-05,6.66,51.3
NESTLE NESCAU FAST 270ML,ACHOCOLATADO,12.99,6.3504,5,2024-2,2026-11,2026-05-09,6.64,51.1
CELSIUS FLUIDO ANTICORROSIVO ROSA 500ML,ADITIVOS STP,35.99,15.35,14,2022-1,2023-11,2026-05-10,20.64,57.3
CELSIUS FLUIDO ANTICORROSIVO VERDE 500ML,ADITIVOS STP,35.99,15.3404,28,2022-1,2026-11,2026-04-20,20.65,57.4
STP COMPLETE FUEL SYSTEM CLEANER 450ML,ADITIVOS STP,99.99,58.4958,51,2022-1,2026-12,,41.49,41.5
STP DIESEL FUEL INJECTOR CLEANER 450ML,ADITIVOS STP,99.99,56.3,47,2022-1,2026-12,2025-01-29,43.69,43.7
STP DIESEL FUEL TREATMENT 236ML,ADITIVOS STP,49.99,21.3,41,2022-1,2026-12,2026-04-04,28.69,57.4
STP FLEX TRATAMENTO 200ML,ADITIVOS STP,52.99,23.9,18,2022-1,2023-11,2026-04-26,29.09,54.9
STP FUEL INJECTOR CLEANER 200ML,ADITIVOS STP,52.99,23.9,21,2022-1,2023-11,2026-05-09,29.09,54.9
STP INTAKE VALVE CLEANER 200ML,ADITIVOS STP,49.99,21.3,39,2022-1,2026-12,2026-03-25,28.69,57.4
STP INTAKE VALVE CLEANER LIMPEZA RAPIDA 200ML,ADITIVOS STP,52.99,23.9,46,2022-1,2026-12,2026-04-21,29.09,54.9
STP LIMPEZA COMPLETA PARA SISTEMA DE INJEÇÃO 375ML,ADITIVOS STP,89.99,56.3,46,2022-1,2026-12,2025-07-09,33.69,37.4
STP OCTANE BOOSTER 200ML,ADITIVOS STP,57.99,25.3,30,2022-1,2026-12,2026-04-05,32.69,56.4
AGUA SABORIZADA CRYSTAL SPARKLING MELANCIA 510ML,AGUA,5.99,2.4993,20,2022-1,2024-11,2026-05-10,3.49,58.3
AGUA TONICA FYS 350ML,AGUA,6.99,2.4817,46,2022-1,2026-12,2025-11-05,4.51,64.5
AGUA TONICA PETRA 350ML,AGUA,6.99,2.5733,47,2022-1,2026-12,2024-04-14,4.42,63.2
CRYSTAL SPARKLING FRUTAS VERMELHAS 510ML,AGUA SABORIZADA,5.99,2.5109,19,2022-1,2023-11,2026-05-07,3.48,58.1
CRYSTAL SPARKLING LIMAO 510ML,AGUA SABORIZADA,5.99,2.5129,19,2022-1,2026-11,2026-04-29,3.48,58.1
CRYSTAL SPARKLING TANG E CAPIM-LIMAO 510ML,AGUA SABORIZADA,5.99,2.5095,19,2022-1,2023-11,2026-05-07,3.48,58.1
H2O LIMONETO 500ML,AGUA SABORIZADA,9.99,3.9983,1,2024-10,2024-10,2026-05-10,5.99,60.0
H2O LIMONETO ZERO AÇUCAR LATA 350ML,AGUA SABORIZADA,5.99,2.3883,49,2022-1,2026-12,2026-05-05,3.6,60.1
51 ICE FRUIT MIX MORAN E LARANJ LONG NECK 275ML,AGUARDENTES,11.99,4.7679,50,2022-1,2026-12,2026-04-26,7.22,60.2
BEBIDA ALCOOLICA ICE LEEV LIMÃO 275ML,AGUARDENTES,12.99,5.165,16,2022-1,2023-11,2026-05-04,7.83,60.3
BEBIDA ALCOOLICA ICE LEEV MELANCIA 275ML,AGUARDENTES,12.99,5.1467,35,2022-1,2026-12,2026-02-10,7.84,60.4
BEBIDA ALCOOLICA ICE LEEV MORANGO 275ML,AGUARDENTES,12.99,4.6877,41,2022-1,2026-12,2026-04-12,8.3,63.9
CABARÉ ICE FRUTAS VERMELHAS 275ML,AGUARDENTES,16.99,6.8562,14,2022-1,2026-9,2026-03-07,10.13,59.6
CABARÉ ICE LIMÃO 275ML,AGUARDENTES,16.99,6.7457,20,2022-1,2026-11,2026-04-26,10.24,60.3
CACHAÇA CABARE ICE 275,AGUARDENTES,13.99,5.7973,34,2022-1,2026-12,2025-09-13,8.19,58.5
AMENDOIM AMENDUPA COM PELE 50G,AMENDOIN/NOZES,2.99,1.4457,37,2022-1,2026-12,2026-01-26,1.54,51.5
AMENDOIM CROKISSIMO SALGADO 90GR,AMENDOIN/NOZES,6.99,3.38,50,2022-1,2026-12,2026-04-08,3.61,51.6
AMENDOIM ELMA CHIPS OVINHO 145G,AMENDOIN/NOZES,11.99,6.2883,38,2022-1,2026-12,2026-04-08,5.7,47.5
AMENDOIM ELMA CHIPS S/PELE 100G,AMENDOIN/NOZES,11.99,6.5881,16,2022-1,2026-11,2026-04-21,5.4,45.0
AMENDOIM JAPONES ELMA CHIPS 145G,AMENDOIN/NOZES,11.99,6.4131,17,2022-1,2025-11,2026-05-08,5.58,46.5
AMENDOIM PARI S/ PELE 120G,AMENDOIN/NOZES,7.99,3.99,49,2022-1,2026-12,2026-05-06,4.0,50.1
CASTANHA DE CAJU TORRADA E SALGADA AMIGOS DO BEM CASTANHA DO BEM PACOTE 30G,AMENDOIN/NOZES,6.99,3.645,49,2022-1,2026-12,2026-04-25,3.35,47.9
PARAFUSO CARTER,ARRUELA,10.0,0.0,50,2022-1,2026-12,2025-12-05,10.0,100.0
BALA DE GOMA GOMUTCHO 31G,BALA,1.99,0.5029,19,2022-1,2026-11,2026-01-29,1.49,74.9
BALA FRUITTELLA CARAMELO 41G,BALA,4.99,2.1127,35,2022-1,2025-12,2026-05-09,2.88,57.7
BALA FRUITTELLA MORANGO 40GR,BALA,4.99,2.0189,12,2022-1,2023-11,2026-05-09,2.97,59.5
BALA SKITLES ORIGINAL 38G,BALA,5.99,2.6771,29,2022-1,2024-11,2026-05-08,3.31,55.3
GOMETS FRUTAS 32GR,BALA,1.99,0.6255,43,2022-1,2026-12,2026-05-08,1.36,68.3
BALA FINI GELATINA BEIJOS MORANGO 15GR,BALA FINI,1.99,0.9325,18,2022-1,2025-11,2026-05-07,1.06,53.3
BALA FINI GELATINA DENTADURA 15G,BALA FINI,1.99,0.9169,17,2022-1,2023-11,2026-05-08,1.07,53.8
BALA FINI REGALIZ TUBES ACIDO MORANGO 80G,BALA FINI,10.99,4.7717,30,2022-1,2026-12,2026-01-04,6.22,56.6
BALA FINI REGALIZ TUBES ACIDO SORTIDO CEREJA ABACAXI MAÇA VERDE 17G,BALA FINI,1.99,0.926,20,2022-1,2025-11,2026-05-08,1.06,53.3
BALA FINI REGALIZ TUBES MORANGO 80G,BALA FINI,10.99,4.8933,24,2022-1,2026-12,2026-05-10,6.1,55.5
BALA FINI TUBES MONO TWISTER 17G,BALA FINI,1.99,0.8675,19,2022-1,2026-11,2026-03-13,1.12,56.3
BALA FINI TUBES MORANGO 17G,BALA FINI,1.99,0.8518,42,2022-1,2026-12,2026-01-26,1.14,57.3
BALA FINI TUBES TUTTI-FRUTTI 15G,BALA FINI,1.99,0.8675,17,2022-1,2026-11,2026-02-26,1.12,56.3
FINI TUBES TWISTER CITRUS 15G,BALA FINI,1.99,0.9031,49,2022-1,2026-12,2026-04-14,1.09,54.8
BATERIA STARLUX ENERGY LITHIUM CR2032 230MAH 3V,BATERIA,3.99,1.6578,40,2022-1,2026-12,2026-05-02,2.33,58.4
BEBIDA LACTEA NESCAFÉ LATTE 270ML,BEBIDA LÁCTEA,13.99,6.405,45,2022-1,2026-12,2026-03-28,7.58,54.2
DANETE ACHOCOLATADO 200ML,BEBIDA LÁCTEA,4.99,2.2,25,2022-1,2026-12,2026-04-27,2.79,55.9
NESCAFE CAPPUCINO CLASSICO 270 ML,BEBIDA LÁCTEA,12.99,6.4067,44,2022-1,2026-12,2026-05-09,6.58,50.7
NESTLE NESTON FAST VITAMINA 280ML,BEBIDA LÁCTEA,12.99,6.3325,3,2025-1,2026-12,2026-05-10,6.66,51.3
ADRIA BISCOITO MOUSSE CHOCOLATE MEIO AMARGO 130G,BISCOITO,4.99,2.7,27,2022-1,2026-12,2026-05-01,2.29,45.9
ADRIA BISCOITO MOUSSE DE CHOCOLATE 130G,BISCOITO,4.99,2.81,42,2022-1,2026-12,2026-05-08,2.18,43.7
ADRIA BISCOITO RECHEAD TORTINHA DUE 140G,BISCOITO,5.99,3.09,50,2022-1,2026-12,2026-04-30,2.9,48.4
ADRIA MOUSSE MORANGO COM CHOCOLATE 130G,BISCOITO,4.99,2.8,27,2022-1,2026-12,2026-05-01,2.19,43.9
ADRIA TORTINHA DUE CHOCOLATE BRANCO E GELEIA DE FRUTAS VERMELHAS 140G,BISCOITO,5.99,2.95,50,2022-1,2026-12,2026-04-22,3.04,50.8
ARCOR PASSION CHOCOLATE 80G,BISCOITO,5.99,3.004,49,2022-1,2026-12,2026-05-07,2.99,49.9
ARCOR PASSION LIMÃO 80G,BISCOITO,5.99,3.004,46,2022-1,2026-12,2026-03-30,2.99,49.9
BAUDUCCO COOKIE ORIGINAL 60GR,BISCOITO,5.99,2.6,45,2022-1,2025-12,2026-05-06,3.39,56.6
BISCOITO BON O BON CHOCOLATE 76G,BISCOITO,7.99,3.995,48,2022-1,2026-12,2026-05-10,3.99,49.9
BISCOITO BONOBON CHOCO BISCUIT BEIJINHO 76G,BISCOITO,7.99,3.995,50,2022-1,2026-12,2026-04-22,4.0,50.1
BISCOITO COOKIE NESTLE CLASSIC COOKIE BAUNILHA 60G,BISCOITO,5.99,2.6406,33,2022-1,2026-12,2026-05-09,3.35,55.9
BISCOITO COOKIE NESTLE NESCAU DUO 60G,BISCOITO,5.99,2.62,23,2022-1,2026-11,2026-03-08,3.37,56.3
BISCOITO COOKIE NESTLE PRESTIGIO 60G,BISCOITO,5.99,2.6892,19,2022-1,2026-11,2026-05-03,3.3,55.1
BISCOITO ITAMARATY WAFFER LOOK CHOCO 55GR,BISCOITO,4.99,2.8579,42,2022-1,2026-12,2025-12-21,2.13,42.7
BISCOITO ITAMARATY WAFFER LOOK MORANG 55GR,BISCOITO,4.99,2.7033,49,2022-1,2026-12,2025-12-07,2.29,45.9
BISCOITO NESTLE CHOCO BISCUIT AO LEITE 78G,BISCOITO,9.99,5.312,40,2022-1,2025-12,2026-05-10,4.68,46.8
BISCOITO RECHEADO BONO CHOCOLATE 90G,BISCOITO,4.99,2.4858,26,2022-1,2026-12,2026-03-20,2.5,50.1
BISCOITO RECHEADO BONO COCO 90G,BISCOITO,5.89,2.8,49,2022-1,2026-12,2026-02-10,3.09,52.5
BISCOITO WAFER CHOCOLATE TRIUNFO 105G,BISCOITO,6.99,3.0872,43,2022-1,2026-12,2026-04-21,3.9,55.8
BISCOITO WAFER LIMAO TRIUNFO 105G,BISCOITO,6.99,3.06,45,2022-1,2026-12,2026-04-17,3.93,56.2
BISCOITO WAFER MORANGO TRIUNFO 105G,BISCOITO,6.99,3.09,45,2022-1,2026-12,2026-04-12,3.9,55.8
CASSINI POLVILHO 100G,BISCOITO,7.99,3.99,48,2022-1,2026-12,2026-05-08,4.0,50.1
CASSINI POLVILHO QUEIJO 100G,BISCOITO,7.99,3.99,49,2022-1,2026-12,2026-05-06,4.0,50.1
CLUB SOCIAL BACON E PROVOLONE 141G,BISCOITO,2.99,0.7637,10,2022-2,2026-10,2026-04-16,2.23,74.6
CLUB SOCIAL CEBOLA COM SOUR CREAM 141G,BISCOITO,2.99,0.7317,34,2022-1,2026-12,2026-05-03,2.26,75.6
CLUB SOCIAL ORIGINAL 24GR,BISCOITO,2.99,0.7206,3,2022-5,2022-7,2026-05-07,2.27,75.9
CLUB SOCIAL PIZZA MARGUERITA 68G,BISCOITO,8.99,4.61,40,2022-1,2026-12,2026-05-04,4.38,48.7
"CLUB SOCIAL PRESUNTO 23,5GR",BISCOITO,2.99,0.7256,8,2022-3,2022-10,2026-05-10,2.26,75.6
"CLUB SOCIAL RECH. QUEIJO, TOMATE E MANJERICAO 26,5GR",BISCOITO,2.99,1.0715,8,2022-3,2022-10,2026-05-03,1.92,64.2
CLUB SOCIAL RECH. REQUEIJAO 106G,BISCOITO,2.99,1.0625,8,2022-3,2022-10,2026-05-03,1.93,64.5
CLUB SOCIAL SNACK ASSADO CHURRASCO 68G,BISCOITO,8.99,4.61,40,2022-1,2026-12,2026-05-06,4.38,48.7
