sku,categoria,preco_venda_medio,custo_medio,n_snapshots,primeiro_visto,ultimo_visto,ultima_venda_max,margem_R$,margem_pct
ANTARCTICA TONICA LATA 350ML,REFRIGERANTE,6.99,2.9299,2,2023-1,2024-3,2026-05-09,4.06,58.1
COCA COLA + CAFEINA 220ML,REFRIGERANTE,4.99,2.0755,31,2022-1,2024-12,2026-05-07,2.91,58.3
COCA COLA 200ML,REFRIGERANTE,3.99,1.6242,49,2022-1,2026-12,2026-05-08,2.37,59.4
COCA COLA VIDRO 250ML,REFRIGERANTE,7.99,3.4308,23,2022-1,2024-12,2026-05-09,4.56,57.1
COCA COLA ZERO 2LTS,REFRIGERANTE,19.99,10.4833,32,2022-1,2024-12,2026-05-08,9.51,47.6
FANTA LARANJA 2LTS,REFRIGERANTE,17.99,8.8283,1,2025-3,2025-3,2026-05-01,9.16,50.9
FANTA LARANJA LATA 220ML,REFRIGERANTE,3.99,1.8867,30,2022-1,2024-12,2026-05-07,2.1,52.6
FANTA LARANJA LATA 350ML,REFRIGERANTE,6.99,3.0232,3,2024-2,2025-12,2026-05-07,3.97,56.8
FANTA MARACUJA LATA 350ML,REFRIGERANTE,6.99,2.0189,48,2022-1,2026-12,2026-05-07,4.97,71.1
FANTA UVA LATA 220ML,REFRIGERANTE,3.99,1.8867,30,2022-1,2024-12,2026-05-06,2.1,52.6
FANTA UVA LATA 350ML,REFRIGERANTE,6.99,3.0214,2,2025-3,2025-7,2026-05-10,3.97,56.8
ITUBAINA RETRO ORIGINAL LATA 350ML,REFRIGERANTE,5.99,2.4538,10,2022-2,2022-11,2026-05-08,3.54,59.1
ITUBAINA RETRO ORIGINAL LN 355ML,REFRIGERANTE,6.99,2.8583,11,2022-2,2023-11,2026-05-06,4.13,59.1
KUAT GUARANA LATA 220ML,REFRIGERANTE,3.99,1.9372,30,2022-1,2024-12,2026-05-05,2.05,51.4
PEPSI TWIST 200ML,REFRIGERANTE,3.99,1.4042,15,2022-1,2026-12,2026-05-06,2.59,64.9
REFRIGERANTE FYS GUARANA 350ML,REFRIGERANTE,4.99,0.0,49,2022-1,2026-12,2026-02-16,4.99,100.0
REFRIGERANTE SODA LIMONADA ANTARCTICA PET 200ML,REFRIGERANTE,3.99,0.6805,5,2022-1,2025-9,2026-04-25,3.31,83.0
REFRIGERANTE SUKITA LARANJA 200ML,REFRIGERANTE,3.99,1.3975,8,2022-1,2026-12,2026-05-08,2.59,64.9
