sku,categoria,preco_venda_medio,custo_medio,n_snapshots,primeiro_visto,ultimo_visto,ultima_venda_max,margem_R$,margem_pct,tipo
LACTA COOKIE AO LEITE 80GR,BISCOITO,7.99,4.41,41,2022-1,2026-12,2026-04-17,3.58,44.8,conveniencia
LACTA COOKIE LAKA 80GR,BISCOITO,7.99,4.41,44,2022-1,2026-12,2026-05-10,3.58,44.8,conveniencia
NESTLE BISCOITO CHOCOBISCUIT RECHEIO COOKIES AND CREAM 90G,BISCOITO,12.99,9.0014,33,2022-1,2024-12,2026-05-08,3.99,30.7,conveniencia
NESTLE BONO RECH. DOCE DE LEITE 90G,BISCOITO,4.99,2.4867,23,2022-1,2026-12,2026-05-05,2.5,50.1,conveniencia
NESTLE BONO RECH. MORANGO 90G,BISCOITO,4.99,2.7985,45,2022-1,2026-12,2026-05-08,2.19,43.9,conveniencia
NESTLE BONO RECHEADO LIMAO 90G,BISCOITO,4.99,2.4833,41,2022-1,2026-12,2026-04-11,2.51,50.3,conveniencia
NESTLE CLASSIC COOKIE CHOC GOTAS 60G,BISCOITO,5.99,2.6075,34,2022-1,2026-12,2026-04-28,3.38,56.4,conveniencia
NESTLE COOKIE CHARGE 60G,BISCOITO,5.99,2.617,50,2022-1,2026-12,2026-03-26,3.37,56.3,conveniencia
NESTLE NEGRESCO COOKIE CHOC GOTAS BAUN 60GR,BISCOITO,5.99,2.6158,11,2023-1,2026-11,2026-03-17,3.37,56.3,conveniencia
NESTLE NESFIT BANANA AVEIA E CANELA 160GR,BISCOITO,7.99,4.0625,18,2022-2,2026-12,2026-05-09,3.93,49.2,conveniencia
NESTLE NESFIT CACAU E AVELA 140G,BISCOITO,7.99,4.0161,26,2022-1,2026-12,2026-05-08,3.97,49.7,conveniencia
NESTLE NESFIT MORANGO E CEREAIS 160G,BISCOITO,7.99,4.0225,32,2022-1,2026-12,2026-03-21,3.97,49.7,conveniencia
NESTLE PASSATEMPO COOKIE DE LEITE 60GR,BISCOITO,5.99,2.7278,22,2022-1,2025-12,2026-05-03,3.26,54.4,conveniencia
NESTLE PASSATEMPO LEITE NINHO 150G,BISCOITO,5.99,2.9217,15,2022-2,2026-12,2026-05-02,3.07,51.3,conveniencia
NESTLE PASSATEMPO RECHEIO DE CHOCO MORANGO 130GR,BISCOITO,5.99,3.23,40,2022-1,2026-12,2026-03-27,2.76,46.1,conveniencia
