sku,categoria,preco_venda_medio,custo_medio,n_snapshots,primeiro_visto,ultimo_visto,ultima_venda_max,margem_R$,margem_pct,tipo
"BALA MENTOS MINT 37,5G",MENTOS,4.99,1.8022,29,2022-1,2024-12,2026-05-06,3.19,63.9,conveniencia
"BALA MENTOS MINT 37,5GR",MENTOS,4.99,2.1288,5,2025-2,2025-12,2026-05-08,2.86,57.3,conveniencia
"BALA MENTOS RAINBOW 37,5G",MENTOS,4.99,2.5496,15,2022-1,2023-11,2026-05-06,2.44,48.9,conveniencia
"BALA MENTOS RAINBOW 37,5GR",MENTOS,4.99,2.0996,16,2022-1,2026-12,2026-04-22,2.89,57.9,conveniencia
"BALA MENTOS STK TUTTI FRUTTI 37,5G",MENTOS,4.99,2.1288,51,2022-1,2026-12,,2.86,57.3,conveniencia
"BALA MENTOS TUTTI FRUTTI 37,5G",MENTOS,4.99,1.8657,21,2022-1,2026-12,2026-04-21,3.12,62.5,conveniencia
MENTOS KISS MINT 35GR,MENTOS,19.99,8.612,36,2022-1,2026-12,2026-05-06,11.38,56.9,conveniencia
MENTOS KISS MORANGO 35GR,MENTOS,18.99,8.3867,35,2022-1,2026-12,2026-05-02,10.6,55.8,conveniencia
MENTOS KISS TUTTI FRUTTI E MENTA 35G,MENTOS,18.99,8.1908,49,2022-1,2026-12,2026-05-06,10.8,56.9,conveniencia
MENTOS KISS XTREME FROZEN 35GR,MENTOS,19.99,8.7022,35,2022-1,2026-12,2026-05-06,11.29,56.5,conveniencia
MENTOS PURE FRESH AZUL GARRAFA 56GR,MENTOS,19.99,9.6467,6,2022-1,2024-12,2026-05-07,10.34,51.7,conveniencia
MENTOS PURE FRESH MORANGO GARRAFA 56G,MENTOS,19.99,9.6467,48,2022-1,2026-12,2026-04-27,10.34,51.7,conveniencia
MENTOS PURE FRESH WINTERGREEN GARRAFA 56GR,MENTOS,19.99,9.569,5,2023-1,2025-11,2026-05-09,10.42,52.1,conveniencia
MENTOS UP2U GARRAFA TUTTI FRUTTI 56GR,MENTOS,19.99,9.615,2,2022-5,2023-10,2026-05-07,10.37,51.9,conveniencia
ESPETO CHURRASCO CORDEIRO 40UN,MERCEARIA ALIMENTICIA,3.99,3.35,47,2022-1,2026-12,2024-11-22,0.64,16.0,conveniencia
SUPLEM ALIM CHILLI BEANS RELAX MACA VERDE 310ML,MERCEARIA ALIMENTICIA,16.99,7.6,48,2022-1,2026-12,2026-05-09,9.39,55.3,conveniencia
SUPLEMENTO ALIMENTAR CHILLI RELAX ACAI BERRY 310ML,MERCEARIA ALIMENTICIA,16.99,7.6,49,2022-1,2026-12,2026-05-07,9.39,55.3,conveniencia
SUPLEMENTO ALIMENTAR CHILLI RELAX COCO E ACAI 310ML,MERCEARIA ALIMENTICIA,16.99,7.6,50,2022-1,2026-12,2026-04-06,9.39,55.3,conveniencia
TOALHA DE PAPEL PICCOLA DONNA C/2,MERCEARIA MAT. LIMPEZA,3.99,3.1,48,2022-1,2026-12,2026-04-11,0.89,22.3,revisar
KIT KAT NESCAFÉ,NESCAFÉ BEBIDAS,8.5,5.2401,44,2022-1,2025-12,2026-05-03,3.26,38.4,conveniencia
CIABATTA MANIA FOODS CARNE SECA 155G,PADARIA,14.9,9.6,47,2022-1,2026-12,2026-02-04,5.3,35.6,conveniencia
CIABATTA MANIA FOODS FRANGO E BACON 170G,PADARIA,14.9,9.6,38,2022-1,2026-12,2026-02-02,5.3,35.6,conveniencia
CIABATTA MANIA FOODS PRESUNTO E QUEIJO 170G,PADARIA,14.9,9.4167,39,2022-1,2026-12,2026-01-10,5.48,36.8,conveniencia
COOKIES PIRAQUE CHOCOLATE 80G,PADARIA,5.99,3.12,48,2022-1,2026-12,2026-03-30,2.87,47.9,conveniencia
COOKIES PIRAQUE ORIGINAL 80G,PADARIA,5.99,3.12,45,2022-1,2026-12,2026-04-02,2.87,47.9,conveniencia
MINI PANETONE COM GOTAS DE CHOCOLATE BAUDUCCO 80G,PADARIA,7.99,4.72,47,2022-1,2026-12,2026-02-24,3.27,40.9,conveniencia
"BALA TIC TAC MENTA FRUTAS 14,5G",PASTILHAS,4.99,1.9286,21,2022-1,2023-11,2026-05-08,3.06,61.3,conveniencia
BALA TIC TAC MENTA FRUTAS 16G,PASTILHAS,4.99,2.0211,24,2022-1,2026-12,2026-04-26,2.97,59.5,conveniencia
GAROTO PASTILHA HORTELA 17GR,PASTILHAS,2.99,0.843,11,2022-1,2023-11,2026-05-09,2.15,71.9,conveniencia
"TIC TAC INCRIVEL DUPLA MORANGO 14,5G",PASTILHAS,4.99,2.0109,13,2022-1,2026-11,2026-05-08,2.98,59.7,conveniencia
TIC TAC LARANJA 16GR,PASTILHAS,4.99,2.0089,12,2022-1,2023-11,2026-05-09,2.98,59.7,conveniencia
TIC TAC MENTA 16GR,PASTILHAS,4.99,2.0209,12,2022-1,2023-11,2026-05-05,2.97,59.5,conveniencia
CHESTERFIELD REMIX BEATS,PHILIP MORRIS,10.5,9.695,14,2022-1,2023-11,2026-05-10,0.8,7.6,conveniencia
CHESTERFIELD REMIX BLOSSOM MINT BOX,PHILIP MORRIS,10.5,9.464,22,2022-1,2026-11,2025-12-22,1.04,9.9,conveniencia
CHESTERFIELD REMIX FRESH E MINT,PHILIP MORRIS,10.5,9.6921,29,2022-1,2024-12,2026-05-10,0.81,7.7,conveniencia
CHESTERFIELD TERRAS BRASILEIRAS AZUL FB KS RCB 20,PHILIP MORRIS,8.75,8.078,22,2022-1,2023-12,2026-05-10,0.67,7.7,conveniencia
CIGARRO HARMONY SLIMS,PHILIP MORRIS,12.75,11.541,46,2022-1,2026-12,2026-01-04,1.21,9.5,conveniencia
LM FIRST CUT BLUE,PHILIP MORRIS,7.75,7.156,1,2022-2,2022-2,2026-05-10,0.59,7.6,conveniencia
LM FIRST CUT RED,PHILIP MORRIS,7.75,7.156,19,2022-1,2023-11,2026-05-10,0.59,7.6,conveniencia
MARLBORO BLOSSOM FUSION BOX,PHILIP MORRIS,13.75,12.4536,41,2022-1,2026-12,2025-07-25,1.3,9.5,conveniencia
MARLBORO BLUE SELECTION BOX,PHILIP MORRIS,11.25,5.7569,46,2022-1,2025-12,2026-05-10,5.49,48.8,conveniencia
MARLBORO GOLD SELECTION MACO,PHILIP MORRIS,9.25,8.5408,47,2022-1,2026-12,2026-05-10,0.71,7.7,conveniencia
MARLBORO RED SELECTION MACO,PHILIP MORRIS,9.25,8.541,48,2022-1,2026-12,2026-05-10,0.71,7.7,conveniencia
PILHA RAYOVAC AA PALITO AMARELA C/4,PILHAS,7.99,2.84,16,2022-1,2025-12,2026-05-09,5.15,64.5,conveniencia
PILHA RAYOVAC AA PEQUENA TUBO UN,PILHAS,7.99,3.696,47,2022-1,2026-12,2025-11-01,4.29,53.7,conveniencia
PILHA RAYOVAC TUBO AAA PALITO 40UN,PILHAS,7.99,3.934,45,2022-1,2026-12,2026-05-09,4.06,50.8,conveniencia
PIPOCA DOCE CARAMELIZADA CLAC 50G,PIPOCA,5.99,2.2,47,2022-1,2026-12,2026-05-06,3.79,63.3,conveniencia
PIPOCA FORMIGAO 120G,PIPOCA,5.99,2.8936,35,2022-1,2026-12,2026-04-09,3.1,51.8,conveniencia
PIPOCA FORMIGAO 40G,PIPOCA,2.99,1.2167,41,2022-1,2025-12,2026-05-06,1.77,59.2,conveniencia
ANTARCTICA GUARANA 200ML,REFRIGERANTE,3.99,1.5342,22,2022-1,2023-12,2026-05-10,2.46,61.7,conveniencia
ANTARCTICA GUARANA 600ML,REFRIGERANTE,8.99,4.09,11,2023-1,2024-10,2026-05-10,4.9,54.5,conveniencia
ANTARCTICA GUARANA LATA 350ML,REFRIGERANTE,5.99,1.4929,21,2022-1,2024-12,2026-05-10,4.5,75.1,conveniencia
ANTARCTICA GUARANA ZERO 2LTS,REFRIGERANTE,16.99,8.241,45,2022-1,2025-12,2026-05-10,8.75,51.5,conveniencia
ANTARCTICA SODA 2LTS,REFRIGERANTE,16.99,7.5778,2,2024-8,2025-10,2026-05-10,9.41,55.4,conveniencia
ANTARCTICA TONICA LATA 350ML,REFRIGERANTE,6.99,2.9299,2,2023-1,2024-3,2026-05-09,4.06,58.1,conveniencia
COCA COLA + CAFEINA 220ML,REFRIGERANTE,4.99,2.0755,31,2022-1,2024-12,2026-05-07,2.91,58.3,conveniencia
COCA COLA 200ML,REFRIGERANTE,3.99,1.6242,49,2022-1,2026-12,2026-05-08,2.37,59.4,conveniencia
COCA COLA VIDRO 250ML,REFRIGERANTE,7.99,3.4308,23,2022-1,2024-12,2026-05-09,4.56,57.1,conveniencia
COCA COLA ZERO 2LTS,REFRIGERANTE,19.99,10.4833,32,2022-1,2024-12,2026-05-08,9.51,47.6,conveniencia
FANTA LARANJA 2LTS,REFRIGERANTE,17.99,8.8283,1,2025-3,2025-3,2026-05-01,9.16,50.9,conveniencia
FANTA LARANJA LATA 220ML,REFRIGERANTE,3.99,1.8867,30,2022-1,2024-12,2026-05-07,2.1,52.6,conveniencia
FANTA LARANJA LATA 350ML,REFRIGERANTE,6.99,3.0232,3,2024-2,2025-12,2026-05-07,3.97,56.8,conveniencia
FANTA MARACUJA LATA 350ML,REFRIGERANTE,6.99,2.0189,48,2022-1,2026-12,2026-05-07,4.97,71.1,conveniencia
FANTA UVA LATA 220ML,REFRIGERANTE,3.99,1.8867,30,2022-1,2024-12,2026-05-06,2.1,52.6,conveniencia
FANTA UVA LATA 350ML,REFRIGERANTE,6.99,3.0214,2,2025-3,2025-7,2026-05-10,3.97,56.8,conveniencia
ITUBAINA RETRO ORIGINAL LATA 350ML,REFRIGERANTE,5.99,2.4538,10,2022-2,2022-11,2026-05-08,3.54,59.1,conveniencia
ITUBAINA RETRO ORIGINAL LN 355ML,REFRIGERANTE,6.99,2.8583,11,2022-2,2023-11,2026-05-06,4.13,59.1,conveniencia
KUAT GUARANA LATA 220ML,REFRIGERANTE,3.99,1.9372,30,2022-1,2024-12,2026-05-05,2.05,51.4,conveniencia
PEPSI TWIST 200ML,REFRIGERANTE,3.99,1.4042,15,2022-1,2026-12,2026-05-06,2.59,64.9,conveniencia
REFRIGERANTE FYS GUARANA 350ML,REFRIGERANTE,4.99,0.0,49,2022-1,2026-12,2026-02-16,4.99,100.0,conveniencia
REFRIGERANTE SODA LIMONADA ANTARCTICA PET 200ML,REFRIGERANTE,3.99,0.6805,5,2022-1,2025-9,2026-04-25,3.31,83.0,conveniencia
REFRIGERANTE SUKITA LARANJA 200ML,REFRIGERANTE,3.99,1.3975,8,2022-1,2026-12,2026-05-08,2.59,64.9,conveniencia
REFRIGERANTE SUKITA TUBAINA PET 2L,REFRIGERANTE,13.99,5.9574,23,2022-1,2024-12,2026-05-10,8.03,57.4,conveniencia
REFRIGERANTE SUKITA UVA 200ML,REFRIGERANTE,3.99,1.4467,3,2022-2,2024-12,2026-05-09,2.54,63.7,conveniencia
"SCHWEPPS CITRUS 1,5LT",REFRIGERANTE,16.99,0.0,49,2022-1,2026-12,2026-04-09,16.99,100.0,conveniencia
SCHWEPPS CITRUS 1.5LTS,REFRIGERANTE,16.99,7.9308,49,2022-1,2026-12,2026-05-07,9.06,53.3,conveniencia
SCHWEPPS CITRUS LATA 350ML,REFRIGERANTE,7.99,3.3919,37,2022-1,2026-11,2026-04-14,4.6,57.6,conveniencia
SCHWEPPS CITRUS ORIGINAL 350ML,REFRIGERANTE,7.99,3.4139,1,2026-1,2026-1,2026-05-10,4.58,57.3,conveniencia
SPRITE FRESH 510ML,REFRIGERANTE,5.99,2.9239,20,2022-1,2023-11,2026-05-09,3.07,51.3,conveniencia
SPRITE LATA 220ML,REFRIGERANTE,3.99,1.8867,28,2022-1,2024-12,2026-05-10,2.1,52.6,conveniencia
SPRITE MINI PET 200ML,REFRIGERANTE,3.99,1.5133,49,2022-1,2026-12,2026-04-24,2.48,62.2,conveniencia
SUKITA LARANJA 2LTS,REFRIGERANTE,11.99,5.9026,1,2026-5,2026-5,2026-04-29,6.09,50.8,conveniencia
CHEETOS LUA PARMESAO 80G,SALGADO ASSADO/FRITO,13.99,7.4427,48,2022-1,2026-12,2026-05-07,6.55,46.8,conveniencia
CHEETOS MIX DE QUEIJOS 70G,SALGADO ASSADO/FRITO,13.99,7.6279,48,2022-1,2026-12,2026-05-04,6.36,45.5,conveniencia
CROISSANT 7 DAYS CHOCOLATE 45G,SALGADO ASSADO/FRITO,8.99,3.99,47,2022-1,2026-12,2026-02-28,5.0,55.6,conveniencia
FANDANGOS PRESUNTO 85G,SALGADO ASSADO/FRITO,11.99,6.4239,48,2022-1,2026-12,2026-05-10,5.57,46.5,conveniencia
SANDUICHE NATURAL MANIA LANCHE 3 QUEIJOS,SANDUÍCHE,14.9,9.6,16,2022-2,2024-9,2026-05-10,5.3,35.6,conveniencia
SANDUICHE NATURAL MANIA LANCHES ATUM 140GR,SANDUÍCHE,14.9,9.6,14,2022-2,2025-9,2026-05-08,5.3,35.6,conveniencia
SANDUICHE NATURAL MANIA LANCHES FILE DE FRANGO 160GR,SANDUÍCHE,14.9,9.6,12,2022-2,2024-9,2026-05-08,5.3,35.6,conveniencia
SANDUICHE NATURAL MANIA LANCHES PEITO DE PERU C/TOMATE SECO,SANDUÍCHE,14.9,9.6,13,2022-2,2024-9,2026-05-10,5.3,35.6,conveniencia
SANDUICHE NATURAL MANIA LANCHES SALAME COM PROVOLONE 140GR,SANDUÍCHE,14.9,9.6,12,2022-2,2024-9,2026-05-09,5.3,35.6,conveniencia
BATATA FRITA LAYS SALT E VINEGAR 70G,SNACK DIVERSOS,13.99,7.684,49,2022-1,2026-12,2026-01-06,6.31,45.1,conveniencia
BATATA FRITA LISA KELECK BARBECUE 90G,SNACK DIVERSOS,8.99,4.49,49,2022-1,2026-12,2026-04-18,4.5,50.1,conveniencia
BATATA FRITA LISA KELECK CEBOLA E SALSA 90G,SNACK DIVERSOS,8.99,4.49,48,2022-1,2026-12,2026-05-08,4.5,50.1,conveniencia
BATATA FRITA LISA KELECK NATURAL 90G,SNACK DIVERSOS,8.99,4.49,49,2022-1,2026-12,2026-04-27,4.5,50.1,conveniencia
BATATA FRITA LISA KELEEK CHURRASCO 90G,SNACK DIVERSOS,8.99,4.49,48,2022-1,2026-12,2026-05-02,4.5,50.1,conveniencia
BATATA LAYS CLASSICO 62G,SNACK DIVERSOS,13.99,7.3625,49,2022-1,2026-12,2026-05-10,6.63,47.4,conveniencia
BATATA LAYS COPA PICANHA 62G,SNACK DIVERSOS,13.99,7.2871,49,2022-1,2026-12,2026-05-09,6.7,47.9,conveniencia
BATATA LAYS COPA QUEIJO CAMEMBERT 62G,SNACK DIVERSOS,13.99,7.6333,50,2022-1,2026-12,2026-04-18,6.36,45.5,conveniencia
BATATA LAYS SENSACOES FRANGO GRELHADO 35G,SNACK DIVERSOS,9.99,4.618,49,2022-1,2026-12,2026-05-08,5.37,53.8,conveniencia
BATATA LAYS SOUR CREAM 62G,SNACK DIVERSOS,13.99,7.3625,50,2022-1,2026-12,2026-05-10,6.63,47.4,conveniencia
BATATA LAYS TACO MEXICANO 62G,SNACK DIVERSOS,13.99,7.77,50,2022-1,2026-12,2026-04-18,6.22,44.5,conveniencia
BATATA PRINGLES STRANGER THINGS BACON 100G,SNACK DIVERSOS,19.99,10.9067,50,2022-1,2026-12,2025-12-21,9.08,45.4,conveniencia
CEBOLITOS 36G,SNACK DIVERSOS,6.63,3.2846,77,2022-1,2026-12,2026-05-09,3.34,50.4,conveniencia
EBICEN SALGADINHO SABOR CAMARAO 30G,SNACK DIVERSOS,4.99,2.624,28,2022-1,2026-12,2025-12-30,2.37,47.5,conveniencia
EBICEN SALGADINHO SABOR CEBOLA 30G,SNACK DIVERSOS,4.99,2.638,31,2022-1,2026-12,2026-01-05,2.35,47.1,conveniencia
KELECK BATATA FRITA PEPERONI 90G,SNACK DIVERSOS,8.99,4.49,48,2022-1,2026-12,2026-05-05,4.5,50.1,conveniencia
PINGO D OURO BACON 76G,SNACK DIVERSOS,8.99,4.5912,32,2022-1,2026-12,2026-03-01,4.4,48.9,conveniencia
PURURUCA MILHO PICANTE KELECK 90G,SNACK DIVERSOS,5.99,2.99,48,2022-1,2026-12,2026-05-06,3.0,50.1,conveniencia
SALGADINHO CHEEZ IT PARMESSAO SNACK 65G,SNACK DIVERSOS,4.99,0.0,49,2022-1,2026-12,2026-02-07,4.99,100.0,conveniencia
SALGADINHO CHEEZ IT SNAPD NACHO EXPLOSION 45G,SNACK DIVERSOS,4.99,2.906,50,2022-1,2026-12,2026-02-26,2.08,41.7,conveniencia
SALGADINHO CHEEZ IT SNAPD QUEIJO 45G,SNACK DIVERSOS,4.99,2.7922,48,2022-1,2026-12,2026-03-05,2.2,44.1,conveniencia
SALGADINHO KELECK BACON 60G,SNACK DIVERSOS,4.99,2.4,48,2022-1,2026-12,2026-05-07,2.59,51.9,conveniencia
SALGADINHO POINT BACON 60G,SNACK DIVERSOS,3.99,2.0308,28,2022-1,2026-12,2025-12-31,1.96,49.1,conveniencia
SALGADINHO TOP SNACKS COSTELINHA COM LIMAO 51G,SNACK DIVERSOS,4.99,2.4,50,2022-1,2026-12,2026-04-24,2.59,51.9,conveniencia
YOKITOS ANEIS CEBOLA 54GR,SNACK DIVERSOS,5.99,2.6894,31,2022-1,2026-12,2026-04-28,3.3,55.1,conveniencia
YOKITOS CONCHINHAS PRESUNTO 54GR,SNACK DIVERSOS,5.99,2.6314,33,2022-1,2026-12,2026-04-25,3.36,56.1,conveniencia
YOKITOS REDINHA QUEIJO 45GR,SNACK DIVERSOS,5.99,2.8631,47,2022-1,2026-12,2026-03-22,3.13,52.3,conveniencia
BACONZITOS 34G,SNACK ELMA CHIPS,5.99,3.079,30,2022-1,2026-12,2026-02-20,2.91,48.6,conveniencia
BACONZITOS 86G,SNACK ELMA CHIPS,13.99,7.7446,26,2022-1,2024-12,2026-05-09,6.25,44.7,conveniencia
BATATA ELMA CHIPS SENSACOES PEITO PERU 35G,SNACK ELMA CHIPS,9.99,4.618,49,2022-1,2026-12,2026-05-08,5.37,53.8,conveniencia
BATATA RUFFLES CEBOLA E SALSA 32G,SNACK ELMA CHIPS,6.55,3.2923,88,2022-1,2026-12,2026-04-14,3.25,49.6,conveniencia
BATATA RUFFLES CEBOLA E SALSA 68G,SNACK ELMA CHIPS,13.99,7.7011,38,2022-1,2025-12,2026-05-07,6.29,45.0,conveniencia
BATATA RUFFLES CHURRASCO 32G,SNACK ELMA CHIPS,6.99,3.47,50,2022-1,2026-12,2026-05-10,3.52,50.4,conveniencia
BATATA RUFFLES ORIGINAL 32G,SNACK ELMA CHIPS,5.99,2.8844,42,2022-1,2026-12,2026-03-18,3.11,51.9,conveniencia
BATATA RUFFLES SOUR CREAM E CEBOLA 100G,SNACK ELMA CHIPS,15.99,8.99,41,2022-1,2026-12,2026-04-16,7.0,43.8,conveniencia
BATATA RUFFLES TUBO ORIGINAL 100G,SNACK ELMA CHIPS,15.99,8.6282,36,2022-1,2026-12,2026-05-06,7.36,46.0,conveniencia
CEBOLITOS 45G,SNACK ELMA CHIPS,5.99,2.9462,50,2022-1,2026-12,2024-10-07,3.04,50.8,conveniencia
CEBOLITOS 91G,SNACK ELMA CHIPS,13.99,7.5915,76,2022-1,2026-12,2026-05-06,6.4,45.7,conveniencia
CHEETOS ASSADO BOLA QUEIJO SUICO 34G,SNACK ELMA CHIPS,5.99,3.09,49,2022-1,2026-12,2026-05-07,2.9,48.4,conveniencia
CHEETOS ASSADO BOLA QUEIJO SUICO 37G,SNACK ELMA CHIPS,5.99,2.5042,43,2022-1,2026-12,2026-04-22,3.49,58.3,conveniencia
CHEETOS ASSADO LUA QUEIJO 40G,SNACK ELMA CHIPS,5.99,3.0147,41,2022-1,2026-12,2026-02-16,2.98,49.7,conveniencia
CHEETOS ASSADO MIX QUEIJO 41G,SNACK ELMA CHIPS,5.99,3.0633,40,2022-1,2026-12,2026-03-14,2.93,48.9,conveniencia
CHEETOS CRUNCHY PIMENTA MEXICANA 47G,SNACK ELMA CHIPS,5.99,1.854,50,2022-1,2026-12,2026-01-16,4.14,69.1,conveniencia
CHEETOS LUA PARMESAO 34G,SNACK ELMA CHIPS,5.99,3.0871,49,2022-1,2026-12,2026-05-09,2.9,48.4,conveniencia
CHEETOS LUA PARMESAO 95G,SNACK ELMA CHIPS,13.99,7.5958,29,2022-1,2026-12,2026-02-27,6.39,45.7,conveniencia
CHEETOS MIX DE QUEIJOS 34G,SNACK ELMA CHIPS,5.99,3.085,48,2022-1,2026-12,2026-05-08,2.9,48.4,conveniencia
CHEETOS MIX DE QUEIJOS 82G,SNACK ELMA CHIPS,13.99,6.84,35,2022-1,2026-12,2026-03-13,7.15,51.1,conveniencia
CHEETOS ONDA 45G,SNACK ELMA CHIPS,5.99,2.8485,40,2022-1,2026-12,2026-03-20,3.14,52.4,conveniencia
CHEETOS ONDA REQUEIJAO 105G,SNACK ELMA CHIPS,13.99,6.8127,27,2022-1,2026-12,2026-03-11,7.18,51.3,conveniencia
CHEETOS ONDA REQUEIJAO 39G,SNACK ELMA CHIPS,5.99,3.085,49,2022-1,2026-12,2026-04-27,2.9,48.4,conveniencia
CHEETOS ONDA REQUEIJÃO 90G,SNACK ELMA CHIPS,13.99,6.1708,49,2022-1,2026-12,2026-04-13,7.82,55.9,conveniencia
DORITOS DINAMITA PIMENTA MEXICANA 60G,SNACK ELMA CHIPS,6.99,3.4267,36,2022-1,2026-12,2026-03-21,3.56,50.9,conveniencia
DORITOS DINAMITE FLAMIN HOT 60G,SNACK ELMA CHIPS,6.99,3.4267,29,2022-1,2025-12,2026-05-01,3.56,50.9,conveniencia
DORITOS KETCHUP 37G,SNACK ELMA CHIPS,6.99,3.5675,40,2022-1,2026-12,2026-02-25,3.42,48.9,conveniencia
DORITOS PIZZA ROCK IN RIO 48G,SNACK ELMA CHIPS,6.99,3.81,27,2022-1,2026-12,2026-04-26,3.18,45.5,conveniencia
DORITOS QUEIJO NACHO 120G,SNACK ELMA CHIPS,19.99,8.6278,25,2022-1,2024-12,2026-05-09,11.36,56.8,conveniencia
DORITOS QUEIJO NACHO 37G,SNACK ELMA CHIPS,6.99,3.5702,26,2022-1,2026-12,2026-04-26,3.42,48.9,conveniencia
DORITOS QUEIJO NACHO 75G,SNACK ELMA CHIPS,12.99,6.8431,50,2022-1,2026-12,2026-05-10,6.15,47.3,conveniencia
DORITOS SWEET CHILLI 37G,SNACK ELMA CHIPS,6.99,3.7875,38,2022-1,2026-12,2026-04-16,3.2,45.8,conveniencia
FANDANGOS PRESUNTO 105G,SNACK ELMA CHIPS,12.99,6.9478,28,2022-1,2026-12,2026-02-23,6.04,46.5,conveniencia
FANDANGOS PRESUNTO 37G,SNACK ELMA CHIPS,4.74,2.5898,64,2022-1,2026-12,2026-05-08,2.15,45.4,conveniencia
FANDANGOS QUEIJO 105G,SNACK ELMA CHIPS,12.99,6.7977,39,2022-1,2026-12,2026-03-09,6.19,47.7,conveniencia
FANDANGOS QUEIJO 37G,SNACK ELMA CHIPS,4.62,2.4968,78,2022-1,2026-12,2026-05-04,2.12,45.9,conveniencia
FANDANGOS QUEIJO 85G,SNACK ELMA CHIPS,11.99,6.96,49,2022-1,2026-12,2026-04-24,5.03,42.0,conveniencia
LAY'S CLASSICA 70G,SNACK ELMA CHIPS,13.99,7.3279,26,2022-1,2026-12,2026-04-03,6.66,47.6,conveniencia
LAY'S SOUR CREAM 70G,SNACK ELMA CHIPS,13.99,4.764,27,2022-1,2026-12,2026-03-20,9.23,66.0,conveniencia
PRINGLES BATATA QUEIJO 109G,SNACK ELMA CHIPS,19.99,11.51,25,2022-1,2026-11,2026-04-28,8.48,42.4,conveniencia
RUFFLES CHURRASCO 32G,SNACK ELMA CHIPS,5.99,2.7432,41,2022-1,2026-12,2026-03-16,3.25,54.3,conveniencia
RUFFLES CHURRASCO 68GR,SNACK ELMA CHIPS,13.99,7.5932,40,2022-1,2026-12,2026-04-09,6.4,45.7,conveniencia
RUFFLES ORIGINAL 68G,SNACK ELMA CHIPS,13.99,7.4062,39,2022-1,2026-12,2026-04-26,6.58,47.0,conveniencia
RUFFLES PIMENTA MEXICANA 30G,SNACK ELMA CHIPS,5.99,3.09,44,2022-1,2025-12,2026-05-04,2.9,48.4,conveniencia
RUFFLES SAL 115G,SNACK ELMA CHIPS,20.99,11.1787,37,2022-1,2026-12,2026-04-19,9.81,46.7,conveniencia
RUFFLES SAL 32G,SNACK ELMA CHIPS,6.99,3.4714,49,2022-1,2026-12,2026-05-10,3.52,50.4,conveniencia
SALGADINHO STIKSY ELMA CHIPS CLASSICO 76G,SNACK ELMA CHIPS,8.99,3.5243,28,2022-1,2024-12,2026-05-09,5.47,60.8,conveniencia
SENSAÇÕES SABOR FRANGO GRELHADO 40G,SNACK ELMA CHIPS,7.99,4.2275,11,2022-1,2026-9,2026-03-13,3.76,47.1,conveniencia
SENSAÇÕES SABOR PEITO DE PERU 40G,SNACK ELMA CHIPS,7.99,4.23,10,2022-2,2026-9,2026-03-10,3.76,47.1,conveniencia
SNACKS NUTELLA B READY 22G,SNACK ELMA CHIPS,6.99,3.8436,5,2023-1,2024-12,2026-05-08,3.15,45.1,conveniencia
PRINGLES BATATA CHURRASCO 109G,SNACK PRINGLES,19.99,11.5829,44,2022-1,2025-12,2026-05-07,8.41,42.1,conveniencia
PRINGLES BATATA CREME E CEBOLA 109G,SNACK PRINGLES,19.99,11.5788,16,2022-1,2023-11,2026-05-10,8.41,42.1,conveniencia
PRINGLES BATATA ORIGINAL 104G,SNACK PRINGLES,19.99,11.5809,16,2022-1,2023-11,2026-05-09,8.41,42.1,conveniencia
PRINGLES BATATA PIZZA CALABRESA 105G,SNACK PRINGLES,19.99,10.905,49,2022-1,2026-12,2025-12-24,9.09,45.5,conveniencia
SALGADINHO PÃO DE ALHO TORCIDA CHURRAS 60G,SNACK TORCIDA,3.99,1.5542,41,2022-1,2026-12,2025-11-20,2.44,61.2,conveniencia
SALGADINHO TORCIDA BACON 60G,SNACK TORCIDA,3.99,1.8009,27,2022-1,2024-12,2026-05-09,2.19,54.9,conveniencia
SALGADINHO TORCIDA CEBOLA 60G,SNACK TORCIDA,3.99,1.8,30,2022-1,2024-12,2026-05-07,2.19,54.9,conveniencia
SALGADINHO TORCIDA CHURRASCO 60G,SNACK TORCIDA,3.99,1.8,37,2022-1,2026-12,2026-03-15,2.19,54.9,conveniencia
SALGADINHO TORCIDA PIMENTA MEXICANA 60G,SNACK TORCIDA,3.99,1.8,31,2022-1,2025-12,2026-05-09,2.19,54.9,conveniencia
TORCIDA CHURRAS VINAGRETE 60G,SNACK TORCIDA,3.99,1.1115,41,2022-1,2026-12,2025-11-15,2.88,72.2,conveniencia
TORCIDA COSTELA C/ LIMAO 60G,SNACK TORCIDA,3.99,1.7608,33,2022-1,2026-12,2026-02-17,2.23,55.9,conveniencia
JUNDIÁ COPAO AÇAI 220GR,SORVETE JUNDIÁ,15.0,8.86,11,2023-4,2026-12,2026-04-09,6.14,40.9,conveniencia
PICOLE DUO MOUSSE DE MARACUJA E LIMAO 60G,SORVETE JUNDIÁ,11.5,2.5374,20,2022-1,2025-11,2026-05-06,8.96,77.9,conveniencia
PICOLE JUNDIA MAX PISTACHE 75G,SORVETE JUNDIÁ,14.5,9.6675,47,2022-1,2026-12,2026-05-04,4.83,33.3,conveniencia
PICOLE SABOR MORANGO COM RECHEIO CHANTILLY SPLIC JUNDIÁ 50G,SORVETE JUNDIÁ,7.5,3.5737,12,2022-2,2023-11,2026-05-06,3.93,52.4,conveniencia
"POTE FUZZY AÇAI COM GUARANA JUNDIA 1,5L",SORVETE JUNDIÁ,41.99,26.57,8,2023-3,2026-12,2026-04-14,15.42,36.7,conveniencia
