produto,dia,turno,mes,fator_combinado,is_fraco,action,promove
gelo,4,2,5,0.505,True,3,True
gelo,5,0,5,2.212,False,0,False
gelo,5,1,5,2.282,False,0,False
gelo,5,2,5,1.52,False,0,False
gelo,6,0,5,1.689,False,0,False
gelo,6,1,5,1.743,False,0,False
gelo,6,2,5,1.161,False,0,False
gelo,0,0,6,0.331,True,3,True
gelo,0,1,6,0.342,True,3,True
gelo,0,2,6,0.228,True,3,True
gelo,1,0,6,0.53,False,0,False
gelo,1,1,6,0.546,False,0,False
gelo,1,2,6,0.364,True,3,True
gelo,2,0,6,0.575,False,0,False
gelo,2,1,6,0.593,False,0,False
gelo,2,2,6,0.395,True,3,True
gelo,3,0,6,0.446,True,3,True
gelo,3,1,6,0.46,True,3,True
gelo,3,2,6,0.307,True,3,True
gelo,4,0,6,0.607,False,0,False
gelo,4,1,6,0.627,False,0,False
gelo,4,2,6,0.417,True,3,True
gelo,5,0,6,1.828,False,0,False
gelo,5,1,6,1.886,False,0,False
gelo,5,2,6,1.256,False,0,False
gelo,6,0,6,1.396,False,0,False
gelo,6,1,6,1.44,False,0,False
gelo,6,2,6,0.959,False,0,False
gelo,0,0,7,0.381,True,3,True
gelo,0,1,7,0.393,True,3,True
gelo,0,2,7,0.262,True,3,True
gelo,1,0,7,0.61,False,0,False
gelo,1,1,7,0.629,False,0,False
gelo,1,2,7,0.419,True,3,True
gelo,2,0,7,0.662,False,0,False
gelo,2,1,7,0.683,False,0,False
gelo,2,2,7,0.455,True,3,True
gelo,3,0,7,0.514,False,0,False
gelo,3,1,7,0.53,False,0,False
gelo,3,2,7,0.353,True,3,True
gelo,4,0,7,0.699,False,0,False
gelo,4,1,7,0.721,False,0,False
gelo,4,2,7,0.481,True,3,True
gelo,5,0,7,2.105,False,0,False
gelo,5,1,7,2.171,False,0,False
gelo,5,2,7,1.446,False,0,False
gelo,6,0,7,1.607,False,0,False
gelo,6,1,7,1.658,False,0,False
gelo,6,2,7,1.104,False,0,False
gelo,0,0,8,0.36,True,3,True
gelo,0,1,8,0.371,True,3,True
gelo,0,2,8,0.247,True,3,True
gelo,1,0,8,0.575,False,0,False
gelo,1,1,8,0.593,False,0,False
gelo,1,2,8,0.395,True,3,True
gelo,2,0,8,0.624,False,0,False
gelo,2,1,8,0.644,False,0,False
gelo,2,2,8,0.429,True,3,True
gelo,3,0,8,0.484,True,3,True
gelo,3,1,8,0.5,True,3,True
gelo,3,2,8,0.333,True,3,True
gelo,4,0,8,0.659,False,0,False
gelo,4,1,8,0.68,False,0,False
gelo,4,2,8,0.453,True,3,True
gelo,5,0,8,1.985,False,0,False
gelo,5,1,8,2.048,False,0,False
gelo,5,2,8,1.364,False,0,False
gelo,6,0,8,1.515,False,0,False
gelo,6,1,8,1.563,False,0,False
gelo,6,2,8,1.041,False,0,False
gelo,0,0,9,0.374,True,3,True
gelo,0,1,9,0.386,True,3,True
gelo,0,2,9,0.257,True,3,True
gelo,1,0,9,0.598,False,0,False
gelo,1,1,9,0.617,False,0,False
gelo,1,2,9,0.411,True,3,True
gelo,2,0,9,0.649,False,0,False
gelo,2,1,9,0.669,False,0,False
gelo,2,2,9,0.446,True,3,True
gelo,3,0,9,0.503,True,3,True
gelo,3,1,9,0.519,False,0,False
gelo,3,2,9,0.346,True,3,True
gelo,4,0,9,0.685,False,0,False
gelo,4,1,9,0.707,False,0,False
gelo,4,2,9,0.471,True,3,True
gelo,5,0,9,2.063,False,0,False
gelo,5,1,9,2.128,False,0,False
gelo,5,2,9,1.418,False,0,False
gelo,6,0,9,1.575,False,0,False
gelo,6,1,9,1.625,False,0,False
gelo,6,2,9,1.082,False,0,False
gelo,0,0,10,0.433,True,3,True
gelo,0,1,10,0.446,True,3,True
gelo,0,2,10,0.297,True,3,True
gelo,1,0,10,0.692,False,0,False
gelo,1,1,10,0.713,False,0,False
gelo,1,2,10,0.475,True,3,True
gelo,2,0,10,0.751,False,0,False
gelo,2,1,10,0.774,False,0,False
gelo,2,2,10,0.516,False,0,False
gelo,3,0,10,0.583,False,0,False
gelo,3,1,10,0.601,False,0,False
gelo,3,2,10,0.4,True,3,True
gelo,4,0,10,0.793,False,0,False
gelo,4,1,10,0.818,False,0,False
gelo,4,2,10,0.545,False,0,False
gelo,5,0,10,2.387,False,0,False
gelo,5,1,10,2.462,False,0,False
gelo,5,2,10,1.64,False,0,False
gelo,6,0,10,1.823,False,0,False
gelo,6,1,10,1.88,False,0,False
gelo,6,2,10,1.252,False,0,False
gelo,0,0,11,0.981,False,3,True
gelo,0,1,11,1.012,False,3,True
gelo,0,2,11,0.674,False,0,False
gelo,1,0,11,1.569,False,0,False
gelo,1,1,11,1.618,False,0,False
gelo,1,2,11,1.078,False,0,False
gelo,2,0,11,1.703,False,0,False
gelo,2,1,11,1.757,False,0,False
gelo,2,2,11,1.17,False,0,False
gelo,3,0,11,1.321,False,0,False
