categoria,semana_ciclo,pct_desconto,mag_desconto,n_trans
gelo,8,0.0,0.0,29
gelo,9,0.0,0.0,52
gelo,10,0.0,0.0,79
gelo,11,0.0,0.0,83
gelo,12,0.0,0.0,72
gelo,13,0.0,0.0,75
gelo,14,0.0,0.0,81
gelo,15,0.0,0.0,107
gelo,16,0.0,0.0,110
gelo,17,0.0,0.0,88
gelo,18,0.0,0.0,73
gelo,19,0.0,0.0,72
gelo,20,0.0,0.0,82
gelo,21,0.0,0.0,83
gelo,22,0.0,0.0,59
gelo,23,0.0,0.0,63
gelo,24,0.0,0.0,57
gelo,25,0.0,0.0,76
gelo,26,0.0,0.0,55
gelo,27,0.0,0.0,40
gelo,28,0.0,0.0,39
gelo,29,0.0,0.0,42
gelo,30,0.0,0.0,35
gelo,31,0.0,0.0,41
gelo,32,0.0,0.0,30
gelo,33,0.0,0.0,36
gelo,34,0.0,0.0,33
gelo,35,0.0,0.0,32
gelo,36,0.0,0.0,47
gelo,37,0.0,0.0,19
gelo,38,0.0,0.0,40
gelo,39,0.0,0.0,24
gelo,40,0.0,0.0,55
gelo,41,0.0,0.0,48
gelo,42,0.0,0.0,38
gelo,43,0.0,0.0,36
gelo,44,0.0,0.0,32
gelo,45,0.0,0.0,25
gelo,46,0.0,0.0,33
gelo,47,0.0,0.0,23
gelo,48,0.0,0.0,23
gelo,49,0.0,0.0,29
gelo,50,0.0,0.0,28
gelo,51,0.0,0.0,12
gelo,52,0.0,0.0,21
padaria,1,70.7,26.25,1433
padaria,2,65.05000000000001,24.7,1453
padaria,3,65.35,24.5,1534
padaria,4,66.0,27.200000000000003,1580
padaria,5,64.85,26.3,1616
padaria,6,67.69999999999999,27.8,1744
padaria,7,58.550000000000004,26.05,1835
padaria,8,50.5,26.15,1823
padaria,9,67.3,23.5,1813
padaria,10,68.65,25.7,1994
padaria,11,54.4,26.45,2135
padaria,12,52.1,26.549999999999997,2119
padaria,13,61.05,22.85,2172
padaria,14,61.8,25.049999999999997,2346
padaria,15,61.85,26.3,2460
padaria,16,59.300000000000004,24.450000000000003,2769
padaria,17,49.0,25.15,2483
padaria,18,51.25,23.1,2485
padaria,19,53.449999999999996,25.1,2436
padaria,20,55.95,26.299999999999997,2884
padaria,21,52.449999999999996,27.0,2624
padaria,22,55.05,25.05,2550
padaria,23,55.099999999999994,25.55,2535
padaria,24,64.15,25.8,2688
padaria,25,57.1,26.15,2776
padaria,26,61.0,25.2,2443
padaria,27,72.25,25.15,2650
padaria,28,62.7,25.700000000000003,2382
padaria,29,66.85,29.15,2628
padaria,30,62.400000000000006,26.75,2333
padaria,31,61.35,25.549999999999997,2421
padaria,32,62.599999999999994,27.0,2424
padaria,33,65.4,25.95,2615
padaria,34,60.25,27.549999999999997,2389
padaria,35,63.75,26.55,2463
padaria,36,64.15,26.7,2374
padaria,37,62.65,26.75,2610
padaria,38,63.65,25.549999999999997,2643
padaria,39,58.15,26.1,2269
padaria,40,68.69999999999999,26.55,2545
padaria,41,62.75,26.65,2194
padaria,42,69.5,28.2,2819
padaria,43,68.2,27.1,2591
padaria,44,69.85,26.2,2780
padaria,45,72.94999999999999,27.1,2582
padaria,46,64.80000000000001,26.75,2842
padaria,47,59.9,26.8,2759
padaria,48,60.5,23.75,2423
padaria,49,63.3,27.0,2538
padaria,50,63.6,25.45,2336
padaria,51,65.5,27.2,1286
padaria,52,65.9,24.5,1260
refrigerante,1,75.5,32.15,1270
refrigerante,2,78.2,35.9,1558
refrigerante,3,67.0,24.3,1325
refrigerante,4,77.0,36.5,2012
refrigerante,5,67.4,22.25,1470
refrigerante,6,57.7,34.95,1549
refrigerante,7,46.55,20.9,1652
refrigerante,8,66.9,32.05,1831
refrigerante,9,60.0,21.1,1530
refrigerante,10,76.9,35.95,2395
refrigerante,11,59.4,25.75,1840
refrigerante,12,80.8,33.2,2236
refrigerante,13,67.1,24.1,2051
refrigerante,14,62.3,27.2,2204
refrigerante,15,84.05000000000001,37.650000000000006,3110
refrigerante,16,65.2,25.15,2571
refrigerante,17,69.35,30.0,2554
refrigerante,18,64.3,22.049999999999997,2409
refrigerante,19,69.8,30.799999999999997,2681
refrigerante,20,55.3,25.9,2700
refrigerante,21,60.900000000000006,32.35,2774
refrigerante,22,62.6,26.0,2431
refrigerante,23,61.5,24.15,2420
refrigerante,24,76.4,33.8,2933
refrigerante,25,64.65,22.2,2449
refrigerante,26,65.85,25.7,2328
refrigerante,27,67.9,23.9,2502
refrigerante,28,69.8,25.9,2266
refrigerante,29,49.05,18.95,2424
refrigerante,30,51.0,23.15,2308
refrigerante,31,58.4,24.7,2177
refrigerante,32,70.6,24.6,2239
refrigerante,33,57.9,17.85,2253
refrigerante,34,72.6,23.7,2452
refrigerante,35,54.4,23.6,2235
refrigerante,36,70.55000000000001,35.1,2958
refrigerante,37,42.2,17.7,2162
refrigerante,38,64.75,30.4,2606
refrigerante,39,67.9,24.25,2344
refrigerante,40,77.65,35.400000000000006,2993
refrigerante,41,74.5,35.05,2623
refrigerante,42,40.95,20.9,2318
refrigerante,43,52.4,34.55,2463
refrigerante,44,49.849999999999994,31.150000000000002,2392
refrigerante,45,60.9,32.349999999999994,2381
refrigerante,46,68.4,34.8,2990
refrigerante,47,59.6,20.5,2294
refrigerante,48,69.75,30.6,2526
refrigerante,49,66.15,22.65,2246
refrigerante,50,70.65,33.45,2554
refrigerante,51,69.2,20.3,1137
refrigerante,52,76.7,35.6,1406
sanduiche,1,78.75,29.6,194
sanduiche,2,54.849999999999994,34.75,159
sanduiche,3,50.55,35.599999999999994,178
sanduiche,4,67.4,32.3,192
sanduiche,5,64.4,33.15,184
sanduiche,6,55.25,30.7,152
sanduiche,7,60.6,34.75,216
sanduiche,8,51.3,29.6,196
sanduiche,9,61.25,30.35,199
sanduiche,10,62.3,25.75,169
sanduiche,11,63.1,26.5,231
sanduiche,12,56.400000000000006,27.25,242
sanduiche,13,50.95,38.4,269
sanduiche,14,74.15,29.05,209
sanduiche,15,64.3,29.299999999999997,243
sanduiche,16,59.65,29.9,259
sanduiche,17,67.95,32.4,322
sanduiche,18,55.599999999999994,29.8,256
sanduiche,19,59.75,31.5,236
sanduiche,20,58.2,24.75,319
sanduiche,21,46.45,31.8,262
sanduiche,22,46.150000000000006,32.599999999999994,235
sanduiche,23,61.1,29.9,256
sanduiche,24,55.3,34.4,243
sanduiche,25,53.45,30.7,278
sanduiche,26,61.7,29.45,246
sanduiche,27,65.5,26.9,258
sanduiche,28,67.85,29.5,304
sanduiche,29,70.4,26.05,329
sanduiche,30,65.0,31.349999999999998,271
sanduiche,31,65.25,29.25,246
sanduiche,32,67.95,31.1,286
sanduiche,33,74.85,26.9,338
sanduiche,34,64.75,32.9,326
sanduiche,35,77.35,30.95,326
sanduiche,36,82.25,31.5,331
sanduiche,37,74.85,31.1,327
sanduiche,38,65.25,35.65,422
sanduiche,39,56.4,33.65,291
sanduiche,40,69.85,33.05,428
sanduiche,41,60.55,31.900000000000002,340
sanduiche,42,61.7,27.1,363
sanduiche,43,54.0,31.85,304
sanduiche,44,63.1,31.5,286
sanduiche,45,71.25,29.55,345
sanduiche,46,66.55,29.6,342
sanduiche,47,65.7,29.75,356
sanduiche,48,78.2,29.4,331
sanduiche,49,69.5,29.0,309
sanduiche,50,65.55000000000001,28.95,320
sanduiche,51,62.3,30.1,175
