data,indice,termo,categoria,datas_alvo
2023-09-17,35,chocolate,chocolate,pascoa;namorados;maes
2023-09-24,36,chocolate,chocolate,pascoa;namorados;maes
2023-10-01,35,chocolate,chocolate,pascoa;namorados;maes
2023-10-08,42,chocolate,chocolate,pascoa;namorados;maes
2023-10-15,41,chocolate,chocolate,pascoa;namorados;maes
2023-10-22,35,chocolate,chocolate,pascoa;namorados;maes
2023-10-29,39,chocolate,chocolate,pascoa;namorados;maes
2023-11-05,35,chocolate,chocolate,pascoa;namorados;maes
2023-11-12,32,chocolate,chocolate,pascoa;namorados;maes
2023-11-19,37,chocolate,chocolate,pascoa;namorados;maes
2023-11-26,38,chocolate,chocolate,pascoa;namorados;maes
2023-12-03,42,chocolate,chocolate,pascoa;namorados;maes
2023-12-10,47,chocolate,chocolate,pascoa;namorados;maes
2023-12-17,54,chocolate,chocolate,pascoa;namorados;maes
2023-12-24,55,chocolate,chocolate,pascoa;namorados;maes
2023-12-31,41,chocolate,chocolate,pascoa;namorados;maes
2024-01-07,35,chocolate,chocolate,pascoa;namorados;maes
2024-01-14,37,chocolate,chocolate,pascoa;namorados;maes
2024-01-21,40,chocolate,chocolate,pascoa;namorados;maes
2024-01-28,37,chocolate,chocolate,pascoa;namorados;maes
2024-02-04,32,chocolate,chocolate,pascoa;namorados;maes
2024-02-11,41,chocolate,chocolate,pascoa;namorados;maes
2024-02-18,41,chocolate,chocolate,pascoa;namorados;maes
2024-02-25,41,chocolate,chocolate,pascoa;namorados;maes
2024-03-03,45,chocolate,chocolate,pascoa;namorados;maes
2024-03-10,47,chocolate,chocolate,pascoa;namorados;maes
2024-03-17,54,chocolate,chocolate,pascoa;namorados;maes
2024-03-24,91,chocolate,chocolate,pascoa;namorados;maes
2024-03-31,45,chocolate,chocolate,pascoa;namorados;maes
2024-04-07,34,chocolate,chocolate,pascoa;namorados;maes
2024-04-14,33,chocolate,chocolate,pascoa;namorados;maes
2024-04-21,34,chocolate,chocolate,pascoa;namorados;maes
2024-04-28,35,chocolate,chocolate,pascoa;namorados;maes
2024-05-05,35,chocolate,chocolate,pascoa;namorados;maes
2024-05-12,35,chocolate,chocolate,pascoa;namorados;maes
2024-05-19,39,chocolate,chocolate,pascoa;namorados;maes
2024-05-26,49,chocolate,chocolate,pascoa;namorados;maes
2024-06-02,40,chocolate,chocolate,pascoa;namorados;maes
2024-06-09,42,chocolate,chocolate,pascoa;namorados;maes
2024-06-16,35,chocolate,chocolate,pascoa;namorados;maes
2024-06-23,35,chocolate,chocolate,pascoa;namorados;maes
2024-06-30,39,chocolate,chocolate,pascoa;namorados;maes
2024-07-07,43,chocolate,chocolate,pascoa;namorados;maes
2024-07-14,40,chocolate,chocolate,pascoa;namorados;maes
2024-07-21,38,chocolate,chocolate,pascoa;namorados;maes
2024-07-28,35,chocolate,chocolate,pascoa;namorados;maes
2024-08-04,37,chocolate,chocolate,pascoa;namorados;maes
2024-08-11,39,chocolate,chocolate,pascoa;namorados;maes
2024-08-18,34,chocolate,chocolate,pascoa;namorados;maes
2024-08-25,39,chocolate,chocolate,pascoa;namorados;maes
2024-09-01,34,chocolate,chocolate,pascoa;namorados;maes
2024-09-08,34,chocolate,chocolate,pascoa;namorados;maes
2024-09-15,35,chocolate,chocolate,pascoa;namorados;maes
2024-09-22,33,chocolate,chocolate,pascoa;namorados;maes
2024-09-29,34,chocolate,chocolate,pascoa;namorados;maes
2024-10-06,34,chocolate,chocolate,pascoa;namorados;maes
2024-10-13,37,chocolate,chocolate,pascoa;namorados;maes
2024-10-20,36,chocolate,chocolate,pascoa;namorados;maes
2024-10-27,35,chocolate,chocolate,pascoa;namorados;maes
2024-11-03,36,chocolate,chocolate,pascoa;namorados;maes
2024-11-10,37,chocolate,chocolate,pascoa;namorados;maes
2024-11-17,37,chocolate,chocolate,pascoa;namorados;maes
2024-11-24,37,chocolate,chocolate,pascoa;namorados;maes
2024-12-01,40,chocolate,chocolate,pascoa;namorados;maes
2024-12-08,44,chocolate,chocolate,pascoa;namorados;maes
2024-12-15,47,chocolate,chocolate,pascoa;namorados;maes
2024-12-22,54,chocolate,chocolate,pascoa;namorados;maes
2024-12-29,40,chocolate,chocolate,pascoa;namorados;maes
2025-01-05,33,chocolate,chocolate,pascoa;namorados;maes
2025-01-12,35,chocolate,chocolate,pascoa;namorados;maes
2025-01-19,32,chocolate,chocolate,pascoa;namorados;maes
2025-01-26,34,chocolate,chocolate,pascoa;namorados;maes
2025-02-02,34,chocolate,chocolate,pascoa;namorados;maes
2025-02-09,33,chocolate,chocolate,pascoa;namorados;maes
2025-02-16,32,chocolate,chocolate,pascoa;namorados;maes
2025-02-23,33,chocolate,chocolate,pascoa;namorados;maes
2025-03-02,38,chocolate,chocolate,pascoa;namorados;maes
2025-03-09,38,chocolate,chocolate,pascoa;namorados;maes
2025-03-16,44,chocolate,chocolate,pascoa;namorados;maes
2025-03-23,48,chocolate,chocolate,pascoa;namorados;maes
2025-03-30,50,chocolate,chocolate,pascoa;namorados;maes
2025-04-06,57,chocolate,chocolate,pascoa;namorados;maes
2025-04-13,87,chocolate,chocolate,pascoa;namorados;maes
2025-04-20,51,chocolate,chocolate,pascoa;namorados;maes
2025-04-27,40,chocolate,chocolate,pascoa;namorados;maes
2025-05-04,36,chocolate,chocolate,pascoa;namorados;maes
2025-05-11,35,chocolate,chocolate,pascoa;namorados;maes
2025-05-18,35,chocolate,chocolate,pascoa;namorados;maes
2025-05-25,39,chocolate,chocolate,pascoa;namorados;maes
2025-06-01,40,chocolate,chocolate,pascoa;namorados;maes
2025-06-08,45,chocolate,chocolate,pascoa;namorados;maes
2025-06-15,41,chocolate,chocolate,pascoa;namorados;maes
2025-06-22,39,chocolate,chocolate,pascoa;namorados;maes
2025-06-29,39,chocolate,chocolate,pascoa;namorados;maes
