data,indice,termo,categoria,datas_alvo
2024-03-17,45,cerveja,cerveja,fim_ano;copa;carnaval
2024-03-24,44,cerveja,cerveja,fim_ano;copa;carnaval
2024-03-31,45,cerveja,cerveja,fim_ano;copa;carnaval
2024-04-07,42,cerveja,cerveja,fim_ano;copa;carnaval
2024-04-14,42,cerveja,cerveja,fim_ano;copa;carnaval
2024-04-21,50,cerveja,cerveja,fim_ano;copa;carnaval
2024-04-28,57,cerveja,cerveja,fim_ano;copa;carnaval
2024-05-05,44,cerveja,cerveja,fim_ano;copa;carnaval
2024-05-12,43,cerveja,cerveja,fim_ano;copa;carnaval
2024-05-19,43,cerveja,cerveja,fim_ano;copa;carnaval
2024-05-26,44,cerveja,cerveja,fim_ano;copa;carnaval
2024-06-02,43,cerveja,cerveja,fim_ano;copa;carnaval
2024-06-09,47,cerveja,cerveja,fim_ano;copa;carnaval
2024-06-16,46,cerveja,cerveja,fim_ano;copa;carnaval
2024-06-23,42,cerveja,cerveja,fim_ano;copa;carnaval
2024-06-30,44,cerveja,cerveja,fim_ano;copa;carnaval
2024-07-07,44,cerveja,cerveja,fim_ano;copa;carnaval
2024-07-14,48,cerveja,cerveja,fim_ano;copa;carnaval
2024-07-21,47,cerveja,cerveja,fim_ano;copa;carnaval
2024-07-28,49,cerveja,cerveja,fim_ano;copa;carnaval
2024-08-04,46,cerveja,cerveja,fim_ano;copa;carnaval
2024-08-11,45,cerveja,cerveja,fim_ano;copa;carnaval
2024-08-18,43,cerveja,cerveja,fim_ano;copa;carnaval
2024-08-25,46,cerveja,cerveja,fim_ano;copa;carnaval
2024-09-01,48,cerveja,cerveja,fim_ano;copa;carnaval
2024-09-08,49,cerveja,cerveja,fim_ano;copa;carnaval
2024-09-15,46,cerveja,cerveja,fim_ano;copa;carnaval
2024-09-22,47,cerveja,cerveja,fim_ano;copa;carnaval
2024-09-29,45,cerveja,cerveja,fim_ano;copa;carnaval
2024-10-06,44,cerveja,cerveja,fim_ano;copa;carnaval
2024-10-13,50,cerveja,cerveja,fim_ano;copa;carnaval
2024-10-20,46,cerveja,cerveja,fim_ano;copa;carnaval
2024-10-27,48,cerveja,cerveja,fim_ano;copa;carnaval
2024-11-03,48,cerveja,cerveja,fim_ano;copa;carnaval
2024-11-10,52,cerveja,cerveja,fim_ano;copa;carnaval
2024-11-17,52,cerveja,cerveja,fim_ano;copa;carnaval
2024-11-24,55,cerveja,cerveja,fim_ano;copa;carnaval
2024-12-01,55,cerveja,cerveja,fim_ano;copa;carnaval
2024-12-08,55,cerveja,cerveja,fim_ano;copa;carnaval
2024-12-15,64,cerveja,cerveja,fim_ano;copa;carnaval
2024-12-22,82,cerveja,cerveja,fim_ano;copa;carnaval
2024-12-29,76,cerveja,cerveja,fim_ano;copa;carnaval
