data,indice,termo,categoria,datas_alvo
2024-06-09,69,vinho,vinho,maes;namorados;natal
2024-06-16,52,vinho,vinho,maes;namorados;natal
2024-06-23,54,vinho,vinho,maes;namorados;natal
2024-06-30,58,vinho,vinho,maes;namorados;natal
2024-07-07,75,vinho,vinho,maes;namorados;natal
2024-07-14,60,vinho,vinho,maes;namorados;natal
2024-07-21,56,vinho,vinho,maes;namorados;natal
2024-07-28,50,vinho,vinho,maes;namorados;natal
2024-08-04,51,vinho,vinho,maes;namorados;natal
2024-08-11,49,vinho,vinho,maes;namorados;natal
2024-08-18,45,vinho,vinho,maes;namorados;natal
2024-08-25,47,vinho,vinho,maes;namorados;natal
2024-09-01,43,vinho,vinho,maes;namorados;natal
2024-09-08,40,vinho,vinho,maes;namorados;natal
2024-09-15,41,vinho,vinho,maes;namorados;natal
2024-09-22,40,vinho,vinho,maes;namorados;natal
2024-09-29,39,vinho,vinho,maes;namorados;natal
2024-10-06,38,vinho,vinho,maes;namorados;natal
2024-10-13,44,vinho,vinho,maes;namorados;natal
2024-10-20,42,vinho,vinho,maes;namorados;natal
2024-10-27,44,vinho,vinho,maes;namorados;natal
2024-11-03,45,vinho,vinho,maes;namorados;natal
2024-11-10,49,vinho,vinho,maes;namorados;natal
2024-11-17,51,vinho,vinho,maes;namorados;natal
2024-11-24,59,vinho,vinho,maes;namorados;natal
2024-12-01,53,vinho,vinho,maes;namorados;natal
2024-12-08,60,vinho,vinho,maes;namorados;natal
2024-12-15,78,vinho,vinho,maes;namorados;natal
2024-12-22,99,vinho,vinho,maes;namorados;natal
2024-12-29,76,vinho,vinho,maes;namorados;natal
2025-01-05,47,vinho,vinho,maes;namorados;natal
2025-01-12,46,vinho,vinho,maes;namorados;natal
2025-01-19,42,vinho,vinho,maes;namorados;natal
2025-01-26,42,vinho,vinho,maes;namorados;natal
2025-02-02,40,vinho,vinho,maes;namorados;natal
2025-02-09,40,vinho,vinho,maes;namorados;natal
2025-02-16,37,vinho,vinho,maes;namorados;natal
2025-02-23,34,vinho,vinho,maes;namorados;natal
2025-03-02,39,vinho,vinho,maes;namorados;natal
2025-03-09,36,vinho,vinho,maes;namorados;natal
2025-03-16,40,vinho,vinho,maes;namorados;natal
2025-03-23,40,vinho,vinho,maes;namorados;natal
2025-03-30,43,vinho,vinho,maes;namorados;natal
2025-04-06,46,vinho,vinho,maes;namorados;natal
2025-04-13,62,vinho,vinho,maes;namorados;natal
2025-04-20,52,vinho,vinho,maes;namorados;natal
2025-04-27,54,vinho,vinho,maes;namorados;natal
2025-05-04,48,vinho,vinho,maes;namorados;natal
2025-05-11,50,vinho,vinho,maes;namorados;natal
2025-05-18,50,vinho,vinho,maes;namorados;natal
2025-05-25,59,vinho,vinho,maes;namorados;natal
2025-06-01,59,vinho,vinho,maes;namorados;natal
2025-06-08,81,vinho,vinho,maes;namorados;natal
2025-06-15,68,vinho,vinho,maes;namorados;natal
2025-06-22,59,vinho,vinho,maes;namorados;natal
2025-06-29,64,vinho,vinho,maes;namorados;natal
2025-07-06,67,vinho,vinho,maes;namorados;natal
2025-07-13,62,vinho,vinho,maes;namorados;natal
2025-07-20,60,vinho,vinho,maes;namorados;natal
2025-07-27,55,vinho,vinho,maes;namorados;natal
2025-08-03,58,vinho,vinho,maes;namorados;natal
2025-08-10,57,vinho,vinho,maes;namorados;natal
2025-08-17,49,vinho,vinho,maes;namorados;natal
2025-08-24,49,vinho,vinho,maes;namorados;natal
2025-08-31,47,vinho,vinho,maes;namorados;natal
2025-09-07,46,vinho,vinho,maes;namorados;natal
2025-09-14,43,vinho,vinho,maes;namorados;natal
2025-09-21,45,vinho,vinho,maes;namorados;natal
2025-09-28,51,vinho,vinho,maes;namorados;natal
2025-10-05,51,vinho,vinho,maes;namorados;natal
2025-10-12,48,vinho,vinho,maes;namorados;natal
2025-10-19,48,vinho,vinho,maes;namorados;natal
2025-10-26,46,vinho,vinho,maes;namorados;natal
2025-11-02,48,vinho,vinho,maes;namorados;natal
2025-11-09,49,vinho,vinho,maes;namorados;natal
2025-11-16,52,vinho,vinho,maes;namorados;natal
2025-11-23,50,vinho,vinho,maes;namorados;natal
2025-11-30,54,vinho,vinho,maes;namorados;natal
2025-12-07,57,vinho,vinho,maes;namorados;natal
2025-12-14,69,vinho,vinho,maes;namorados;natal
2025-12-21,100,vinho,vinho,maes;namorados;natal
2025-12-28,75,vinho,vinho,maes;namorados;natal
2026-01-04,52,vinho,vinho,maes;namorados;natal
2026-01-11,46,vinho,vinho,maes;namorados;natal
2026-01-18,50,vinho,vinho,maes;namorados;natal
