data,indice,termo,categoria,datas_alvo
2025-08-31,25,whisky,whisky,pais;natal
2025-09-07,25,whisky,whisky,pais;natal
2025-09-14,25,whisky,whisky,pais;natal
2025-09-21,26,whisky,whisky,pais;natal
2025-09-28,32,whisky,whisky,pais;natal
2025-10-05,24,whisky,whisky,pais;natal
2025-10-12,21,whisky,whisky,pais;natal
2025-10-19,21,whisky,whisky,pais;natal
2025-10-26,21,whisky,whisky,pais;natal
2025-11-02,23,whisky,whisky,pais;natal
2025-11-09,26,whisky,whisky,pais;natal
2025-11-16,28,whisky,whisky,pais;natal
2025-11-23,30,whisky,whisky,pais;natal
2025-11-30,31,whisky,whisky,pais;natal
2025-12-07,32,whisky,whisky,pais;natal
2025-12-14,39,whisky,whisky,pais;natal
2025-12-21,54,whisky,whisky,pais;natal
2025-12-28,55,whisky,whisky,pais;natal
2026-01-04,26,whisky,whisky,pais;natal
2026-01-11,25,whisky,whisky,pais;natal
2026-01-18,29,whisky,whisky,pais;natal
2026-01-25,24,whisky,whisky,pais;natal
2026-02-01,23,whisky,whisky,pais;natal
2026-02-08,23,whisky,whisky,pais;natal
2026-02-15,25,whisky,whisky,pais;natal
2026-02-22,22,whisky,whisky,pais;natal
2026-03-01,21,whisky,whisky,pais;natal
2026-03-08,26,whisky,whisky,pais;natal
2026-03-15,22,whisky,whisky,pais;natal
2026-03-22,22,whisky,whisky,pais;natal
2026-03-29,24,whisky,whisky,pais;natal
2026-04-05,21,whisky,whisky,pais;natal
2026-04-12,22,whisky,whisky,pais;natal
2026-04-19,24,whisky,whisky,pais;natal
2026-04-26,24,whisky,whisky,pais;natal
2026-05-03,23,whisky,whisky,pais;natal
2026-05-10,25,whisky,whisky,pais;natal
