data,indice,termo,categoria,datas_alvo
2024-09-22,83,refrigerante,refrigerante,verao;copa
2024-09-29,77,refrigerante,refrigerante,verao;copa
2024-10-06,75,refrigerante,refrigerante,verao;copa
2024-10-13,80,refrigerante,refrigerante,verao;copa
2024-10-20,76,refrigerante,refrigerante,verao;copa
2024-10-27,86,refrigerante,refrigerante,verao;copa
2024-11-03,71,refrigerante,refrigerante,verao;copa
2024-11-10,75,refrigerante,refrigerante,verao;copa
2024-11-17,73,refrigerante,refrigerante,verao;copa
2024-11-24,78,refrigerante,refrigerante,verao;copa
2024-12-01,74,refrigerante,refrigerante,verao;copa
2024-12-08,85,refrigerante,refrigerante,verao;copa
2024-12-15,83,refrigerante,refrigerante,verao;copa
2024-12-22,85,refrigerante,refrigerante,verao;copa
2024-12-29,82,refrigerante,refrigerante,verao;copa
2025-01-05,79,refrigerante,refrigerante,verao;copa
2025-01-12,72,refrigerante,refrigerante,verao;copa
2025-01-19,73,refrigerante,refrigerante,verao;copa
2025-01-26,70,refrigerante,refrigerante,verao;copa
2025-02-02,74,refrigerante,refrigerante,verao;copa
2025-02-09,71,refrigerante,refrigerante,verao;copa
2025-02-16,79,refrigerante,refrigerante,verao;copa
2025-02-23,76,refrigerante,refrigerante,verao;copa
2025-03-02,88,refrigerante,refrigerante,verao;copa
2025-03-09,80,refrigerante,refrigerante,verao;copa
2025-03-16,81,refrigerante,refrigerante,verao;copa
2025-03-23,78,refrigerante,refrigerante,verao;copa
2025-03-30,81,refrigerante,refrigerante,verao;copa
2025-04-06,75,refrigerante,refrigerante,verao;copa
2025-04-13,77,refrigerante,refrigerante,verao;copa
2025-04-20,81,refrigerante,refrigerante,verao;copa
2025-04-27,75,refrigerante,refrigerante,verao;copa
2025-05-04,74,refrigerante,refrigerante,verao;copa
2025-05-11,72,refrigerante,refrigerante,verao;copa
2025-05-18,70,refrigerante,refrigerante,verao;copa
2025-05-25,68,refrigerante,refrigerante,verao;copa
2025-06-01,68,refrigerante,refrigerante,verao;copa
2025-06-08,75,refrigerante,refrigerante,verao;copa
2025-06-15,72,refrigerante,refrigerante,verao;copa
2025-06-22,66,refrigerante,refrigerante,verao;copa
2025-06-29,71,refrigerante,refrigerante,verao;copa
2025-07-06,74,refrigerante,refrigerante,verao;copa
2025-07-13,79,refrigerante,refrigerante,verao;copa
2025-07-20,75,refrigerante,refrigerante,verao;copa
2025-07-27,71,refrigerante,refrigerante,verao;copa
2025-08-03,75,refrigerante,refrigerante,verao;copa
2025-08-10,75,refrigerante,refrigerante,verao;copa
2025-08-17,79,refrigerante,refrigerante,verao;copa
2025-08-24,79,refrigerante,refrigerante,verao;copa
2025-08-31,76,refrigerante,refrigerante,verao;copa
2025-09-07,84,refrigerante,refrigerante,verao;copa
2025-09-14,79,refrigerante,refrigerante,verao;copa
2025-09-21,88,refrigerante,refrigerante,verao;copa
2025-09-28,89,refrigerante,refrigerante,verao;copa
2025-10-05,87,refrigerante,refrigerante,verao;copa
2025-10-12,83,refrigerante,refrigerante,verao;copa
2025-10-19,88,refrigerante,refrigerante,verao;copa
2025-10-26,86,refrigerante,refrigerante,verao;copa
2025-11-02,79,refrigerante,refrigerante,verao;copa
