data,indice,termo,categoria,datas_alvo
2025-02-23,14,espumante,espumante,reveillon;namorados
2025-03-02,15,espumante,espumante,reveillon;namorados
2025-03-09,13,espumante,espumante,reveillon;namorados
2025-03-16,13,espumante,espumante,reveillon;namorados
2025-03-23,13,espumante,espumante,reveillon;namorados
2025-03-30,12,espumante,espumante,reveillon;namorados
2025-04-06,12,espumante,espumante,reveillon;namorados
2025-04-13,13,espumante,espumante,reveillon;namorados
2025-04-20,12,espumante,espumante,reveillon;namorados
2025-04-27,14,espumante,espumante,reveillon;namorados
2025-05-04,12,espumante,espumante,reveillon;namorados
2025-05-11,12,espumante,espumante,reveillon;namorados
2025-05-18,11,espumante,espumante,reveillon;namorados
2025-05-25,11,espumante,espumante,reveillon;namorados
2025-06-01,12,espumante,espumante,reveillon;namorados
2025-06-08,14,espumante,espumante,reveillon;namorados
2025-06-15,12,espumante,espumante,reveillon;namorados
2025-06-22,9,espumante,espumante,reveillon;namorados
2025-06-29,12,espumante,espumante,reveillon;namorados
2025-07-06,12,espumante,espumante,reveillon;namorados
2025-07-13,13,espumante,espumante,reveillon;namorados
2025-07-20,13,espumante,espumante,reveillon;namorados
2025-07-27,13,espumante,espumante,reveillon;namorados
2025-08-03,13,espumante,espumante,reveillon;namorados
2025-08-10,12,espumante,espumante,reveillon;namorados
2025-08-17,13,espumante,espumante,reveillon;namorados
2025-08-24,13,espumante,espumante,reveillon;namorados
2025-08-31,14,espumante,espumante,reveillon;namorados
2025-09-07,14,espumante,espumante,reveillon;namorados
2025-09-14,15,espumante,espumante,reveillon;namorados
2025-09-21,15,espumante,espumante,reveillon;namorados
2025-09-28,16,espumante,espumante,reveillon;namorados
2025-10-05,16,espumante,espumante,reveillon;namorados
2025-10-12,16,espumante,espumante,reveillon;namorados
2025-10-19,16,espumante,espumante,reveillon;namorados
2025-10-26,17,espumante,espumante,reveillon;namorados
2025-11-02,17,espumante,espumante,reveillon;namorados
2025-11-09,21,espumante,espumante,reveillon;namorados
2025-11-16,23,espumante,espumante,reveillon;namorados
2025-11-23,28,espumante,espumante,reveillon;namorados
2025-11-30,32,espumante,espumante,reveillon;namorados
2025-12-07,38,espumante,espumante,reveillon;namorados
2025-12-14,47,espumante,espumante,reveillon;namorados
2025-12-21,69,espumante,espumante,reveillon;namorados
2025-12-28,95,espumante,espumante,reveillon;namorados
2026-01-04,21,espumante,espumante,reveillon;namorados
2026-01-11,17,espumante,espumante,reveillon;namorados
2026-01-18,15,espumante,espumante,reveillon;namorados
2026-01-25,14,espumante,espumante,reveillon;namorados
2026-02-01,13,espumante,espumante,reveillon;namorados
2026-02-08,12,espumante,espumante,reveillon;namorados
2026-02-15,14,espumante,espumante,reveillon;namorados
2026-02-22,12,espumante,espumante,reveillon;namorados
2026-03-01,12,espumante,espumante,reveillon;namorados
2026-03-08,12,espumante,espumante,reveillon;namorados
2026-03-15,12,espumante,espumante,reveillon;namorados
2026-03-22,12,espumante,espumante,reveillon;namorados
2026-03-29,13,espumante,espumante,reveillon;namorados
2026-04-05,12,espumante,espumante,reveillon;namorados
2026-04-12,12,espumante,espumante,reveillon;namorados
2026-04-19,13,espumante,espumante,reveillon;namorados
2026-04-26,13,espumante,espumante,reveillon;namorados
2026-05-03,12,espumante,espumante,reveillon;namorados
2026-05-10,13,espumante,espumante,reveillon;namorados
